Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Other Income,INDIGO,,163,190,185,187,164,355,477,440,478,559,610,680,678
Interest,INDIGO,,555,569,601,633,657,728,829,918,954,1021,1095,1099,1158
Depreciation,INDIGO,,1317,1248,1234,1269,1170,1238,1342,1353,1408,1549,1666,1803,1876
Profit before tax,INDIGO,,-3174,-1436,134,-1678,-1064,-1583,1423,920,3091,189,2999,1771,2804
Tax %,INDIGO,,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,-7%,3%
Net Profit,INDIGO,,-3174,-1436,130,-1682,-1064,-1583,1423,919,3091,189,2998,1895,2729
EPS in Rs,INDIGO,,-82.47,-37.28,3.37,-43.65,-27.62,-41.08,36.91,23.84,80.16,4.90,77.68,49.09,70.70
Raw PDF,INDIGO,,,,,,,,,,,,,,
Sales,INDIGOPNTS,,,,,,224,243,281,325,288,279,354,385,311
Expenses,INDIGOPNTS,,,,,,189,209,241,254,239,237,292,300,264
Operating Profit,INDIGOPNTS,,,,,,35,34,41,72,49,42,62,85,47
OPM %,INDIGOPNTS,,,,,,16%,14%,14%,22%,17%,15%,18%,22%,15%
Other Income,INDIGOPNTS,,,,,,0,3,4,3,4,3,3,4,4
Interest,INDIGOPNTS,,,,,,0,0,0,0,0,1,1,0,1
Depreciation,INDIGOPNTS,,,,,,8,8,9,9,10,11,15,16,15
Profit before tax,INDIGOPNTS,,,,,,27,28,35,65,42,33,50,73,36
Tax %,INDIGOPNTS,,,,,,26%,-31%,26%,26%,26%,24%,25%,25%,25%
Net Profit,INDIGOPNTS,,,,,,20,37,26,49,32,25,38,54,27
EPS in Rs,INDIGOPNTS,,,,,,4.19,7.80,5.52,10.23,6.52,5.32,7.82,11.27,5.50
Raw PDF,INDIGOPNTS,,,,,,,,,,,,,,
Sales,INFY,,27896,29602,31867,32276,34470,36538,38318,37441,37933,38994,38821,37923,39315
Expenses,INFY,,20464,21771,23484,24430,26606,27636,28951,28443,28869,29554,29684,29139,29878
Operating Profit,INFY,,7432,7831,8383,7846,7864,8902,9367,8998,9064,9440,9137,8784,9437
OPM %,INFY,,27%,26%,26%,24%,23%,24%,24%,24%,24%,24%,24%,23%,24%
Other Income,INFY,,622,524,512,637,676,584,769,671,561,632,789,2729,838
Interest,INFY,,49,48,53,50,56,66,80,82,90,138,131,110,105
Depreciation,INFY,,829,859,899,890,950,1029,1125,1121,1173,1166,1176,1163,1149
Profit before tax,INFY,,7176,7448,7943,7543,7534,8391,8931,8466,8362,8768,8619,10240,9021
Tax %,INFY,,28%,27%,27%,24%,29%,28%,26%,28%,29%,29%,29%,22%,29%
Net Profit,INFY,,5201,5428,5822,5695,5362,6026,6586,6134,5945,6215,6113,7975,6374
EPS in Rs,INFY,,12.20,12.89,13.81,13.52,12.74,14.31,15.70,14.77,14.32,14.97,14.71,19.20,15.34
Raw PDF,INFY,,,,,,,,,,,,,,
Sales,IRCON,,1142,1523,1762,2953,2002,2239,2347,3781,2764,2987,2884,3787,2287
Expenses,IRCON,,1033,1384,1609,2769,1842,2039,2190,3598,2513,2771,2671,3470,2037
Operating Profit,IRCON,,110,139,153,183,160,200,156,183,251,216,213,317,251
OPM %,IRCON,,10%,9%,9%,6%,8%,9%,7%,5%,9%,7%,7%,8%,11%
Other Income,IRCON,,42,69,68,86,79,81,75,186,64,177,165,107,107
Interest,IRCON,,10,16,19,22,29,31,30,33,33,37,37,41,48
Depreciation,IRCON,,23,23,23,26,24,24,24,36,19,27,27,27,27
Profit before tax,IRCON,,119,169,179,221,186,226,178,301,263,328,314,356,282
Tax %,IRCON,,25%,26%,24%,-9%,22%,23%,-7%,15%,29%,24%,22%,31%,20%
Net Profit,IRCON,,89,126,136,242,145,174,190,256,187,251,245,247,224
EPS in Rs,IRCON,,0.95,1.34,1.44,2.57,1.54,1.85,2.02,2.73,1.99,2.67,2.60,2.62,2.38
Raw PDF,IRCON,,,,,,,,,,,,,,
Sales,IRCTC,,,,,,,,,965,1002,,1118,1155,1120
Expenses,IRCTC,,,,,,,,,640,659,,724,792,745
Operating Profit,IRCTC,,,,,,,,,325,343,,394,362,375
OPM %,IRCTC,,,,,,,,,34%,34%,,35%,31%,33%
Other Income,IRCTC,,,,,,,,,65,-13,,31,41,54
Interest,IRCTC,,,,,,,,,4,4,,5,5,3
Depreciation,IRCTC,,,,,,,,,11,14,,14,16,14
Profit before tax,IRCTC,,,,,,,,,375,312,,406,382,412
Tax %,IRCTC,,,,,,,,,26%,26%,,26%,26%,25%
Net Profit,IRCTC,,,,,,,,,279,232,,300,284,308
EPS in Rs,IRCTC,,,,,,,,,3.48,2.90,,3.75,3.55,3.85
Raw PDF,IRCTC,,,,,,,,,,,,,,
Revenue,IREDA,,,,,,,,869,1036,1143,1177,1253,1391,1510
Interest,IREDA,,,,,,,,524,638,764,793,760,847,975
Expenses,IREDA,,,,,,,,105,104,-66,-3,99,56,51
Financing Profit,IREDA,,,,,,,,240,294,445,387,394,488,484
Financing Margin %,IREDA,,,,,,,,28%,28%,39%,33%,31%,35%,32%
Other Income,IREDA,,,,,,,,0,0,0,0,0,0,0
Depreciation,IREDA,,,,,,,,6,6,6,7,8,9,9
Profit before tax,IREDA,,,,,,,,235,288,440,380,386,480,476
Tax %,IREDA,,,,,,,,14%,12%,33%,25%,13%,30%,19%
Net Profit,IREDA,,,,,,,,201,254,295,285,336,337,384
EPS in Rs,IREDA,,,,,,,,0.88,1.11,1.29,1.25,1.25,1.26,1.43
Gross NPA %,IREDA,,,,,,,,4.24%,3.21%,3.08%,3.13%,,,2.19%
Net NPA %,IREDA,,,,,,,,2.03%,1.66%,1.61%,1.65%,,,0.95%
Raw PDF,IREDA,,,,,,,,,,,,,,
Sales,ITC,,13247,13757,17108,16556,18489,17108,17705,17635,17164,17774,18019,17923,18457
Expenses,ITC,,8804,8740,11510,10956,12412,10849,11000,11011,10494,11320,11516,11296,11709
Operating Profit,ITC,,4444,5018,5598,5599,6077,6259,6705,6624,6670,6454,6504,6626,6748
OPM %,ITC,,34%,36%,33%,34%,33%,37%,38%,38%,39%,36%,36%,37%,37%
Other Income,ITC,,447,469,422,499,321,455,595,683,722,665,651,682,692
Interest,ITC,,9,10,10,11,9,13,9,12,10,10,14,13,11
Depreciation,ITC,,414,422,430,467,438,462,447,461,442,453,459,461,499
Profit before tax,ITC,,4467,5055,5580,5620,5950,6239,6844,6833,6940,6656,6682,6834,6930
Tax %,ITC,,25%,26%,26%,24%,25%,25%,26%,24%,25%,26%,19%,24%,25%
Net Profit,ITC,,3344,3766,4127,4266,4472,4682,5080,5243,5190,4965,5407,5191,5177
EPS in Rs,ITC,,2.66,3.01,3.29,3.40,3.56,3.73,4.03,4.16,4.10,3.93,4.28,4.10,4.08
Raw PDF,ITC,,,,,,,,,,,,,,
Sales,JIOFIN,,,,,,,,,,414,608,414,418,418
Expenses,JIOFIN,,,,,,,,,,38,66,94,98,74
Operating Profit,JIOFIN,,,,,,,,,,376,542,320,320,344
OPM %,JIOFIN,,,,,,,,,,91%,89%,77%,77%,82%
Other Income,JIOFIN,,,,,,,,,,67,218,67,78,62
Interest,JIOFIN,,,,,,,,,,10,0,0,0,0
Depreciation,JIOFIN,,,,,,,,,,5,5,5,5,5
Profit before tax,JIOFIN,,,,,,,,,,427,754,381,393,400
Tax %,JIOFIN,,,,,,,,,,22%,11%,23%,21%,22%
Net Profit,JIOFIN,,,,,,,,,,332,668,294,311,313
EPS in Rs,JIOFIN,,,,,,,,,,,1.05,0.46,0.49,0.49
Raw PDF,JIOFIN,,,,,,,,,,,,,,
Sales,JUBLFOOD,,893,1116,1211,1176,1255,1301,1332,1270,1335,1369,1378,1573,1933
Expenses,JUBLFOOD,,681,829,894,902,962,990,1046,1052,1100,1091,1098,1262,1553
Operating Profit,JUBLFOOD,,212,287,317,274,293,312,286,218,235,277,280,310,380
OPM %,JUBLFOOD,,24%,26%,26%,23%,23%,24%,22%,17%,18%,20%,20%,20%,20%
Other Income,JUBLFOOD,,11,8,11,12,11,27,10,20,9,42,20,197,14
Interest,JUBLFOOD,,42,42,45,46,47,50,52,53,54,57,62,114,134
Depreciation,JUBLFOOD,,91,93,103,106,107,115,133,132,136,142,152,169,184
Profit before tax,JUBLFOOD,,90,161,179,134,149,174,111,53,54,121,86,224,77
Tax %,JUBLFOOD,,23%,25%,26%,28%,25%,25%,28%,47%,47%,19%,23%,7%,24%
Net Profit,JUBLFOOD,,69,120,133,96,113,132,80,29,29,97,66,208,58
EPS in Rs,JUBLFOOD,,1.05,1.82,2.03,1.47,1.71,1.99,1.22,0.43,0.44,1.47,1.00,3.14,0.85
Raw PDF,JUBLFOOD,,,,,,,,,,,,,,
Sales,KALYANKJIL,,1637,2889,3435,2857,3333,3473,3884,3382,4376,4415,5223,4535,5535
Expenses,KALYANKJIL,,1568,2661,3136,2639,3068,3207,3557,3125,4053,4101,4853,4229,5159
Operating Profit,KALYANKJIL,,69,228,299,218,264,266,327,257,323,314,370,306,376
OPM %,KALYANKJIL,,4%,8%,9%,8%,8%,8%,8%,8%,7%,7%,7%,7%,7%
Other Income,KALYANKJIL,,5,5,17,11,8,8,7,-19,12,13,20,29,22
Interest,KALYANKJIL,,81,84,82,76,71,74,77,80,82,82,82,78,85
Depreciation,KALYANKJIL,,58,57,59,58,59,60,62,63,64,67,70,74,75
Profit before tax,KALYANKJIL,,-65,92,176,96,142,140,195,95,188,178,239,184,237
Tax %,KALYANKJIL,,-21%,25%,23%,25%,24%,25%,24%,26%,24%,24%,24%,25%,25%
Net Profit,KALYANKJIL,,-51,69,135,72,108,106,148,70,144,135,180,137,178
EPS in Rs,KALYANKJIL,,-0.50,0.67,1.31,0.70,1.05,1.03,1.44,0.68,1.40,1.31,1.75,1.34,1.72
Raw PDF,KALYANKJIL,,,,,,,,,,,,,,
Sales,KAYNES,,,,183,238,199,,289,365,297,361,509,637,504
Expenses,KAYNES,,,,161,198,175,,248,305,257,312,439,542,437
Operating Profit,KAYNES,,,,22,40,25,,41,59,40,49,70,95,67
OPM %,KAYNES,,,,12%,17%,12%,,14%,16%,14%,14%,14%,15%,13%
Other Income,KAYNES,,,,2,-0,1,,3,7,8,9,9,29,28
Interest,KAYNES,,,,7,7,7,,9,8,11,12,15,15,23
Depreciation,KAYNES,,,,4,4,5,,5,5,5,7,6,7,8
Profit before tax,KAYNES,,,,14,29,13,,30,54,32,39,58,102,64
Tax %,KAYNES,,,,21%,32%,25%,,24%,23%,23%,18%,23%,20%,21%
Net Profit,KAYNES,,,,11,20,10,,23,41,25,32,45,81,51
EPS in Rs,KAYNES,,,,13.96,4.30,2.18,,3.93,7.10,4.24,5.56,7.07,12.71,7.94
Raw PDF,KAYNES,,,,,,,,,,,,,,
Sales,KEI,,1018,1353,1564,1792,1565,1608,1784,1953,1783,1947,2059,2319,2060
Expenses,KEI,,904,1207,1407,1620,1406,1448,1602,1751,1604,1743,1845,2075,1846
Operating Profit,KEI,,114,146,157,172,160,161,182,202,178,204,215,245,215
OPM %,KEI,,11%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,11%,10%
Other Income,KEI,,3,2,2,8,4,5,14,7,8,8,14,15,18
Interest,KEI,,11,10,9,10,9,8,8,10,9,8,11,17,14
Depreciation,KEI,,14,14,14,14,14,14,14,14,15,16,15,16,16
Profit before tax,KEI,,91,125,136,156,140,144,174,184,163,188,202,227,203
Tax %,KEI,,26%,26%,25%,26%,26%,26%,26%,25%,26%,26%,26%,26%,26%
Net Profit,KEI,,67,92,101,116,104,107,129,138,121,140,151,168,150
EPS in Rs,KEI,,7.45,10.18,11.23,12.87,11.52,11.85,14.26,15.31,13.46,15.54,16.70,18.67,16.65
Raw PDF,KEI,,,,,,,,,,,,,,
Revenue,KOTAKBANK,,8043,8233,8626,8838,9164,9994,11011,11982,12869,13717,14495,15156,15837
Interest,KOTAKBANK,,2851,2880,2919,2904,3004,3375,3802,4230,4834,5536,5985,6212,6805
Expenses,KOTAKBANK,,7202,8532,6839,8555,4879,9313,9345,10548,10303,10136,12484,14920,12263
Financing Profit,KOTAKBANK,,-2009,-3179,-1132,-2620,1281,-2694,-2136,-2796,-2269,-1955,-3975,-5976,-3231
Financing Margin %,KOTAKBANK,,-25%,-39%,-13%,-30%,14%,-27%,-19%,-23%,-18%,-14%,-27%,-39%,-20%
Other Income,KOTAKBANK,,4529,7110,5543,7838,2405,7441,7360,8785,7855,7843,9588,12751,13042
Depreciation,KOTAKBANK,,0,0,0,131,0,0,0,0,0,0,0,0,0
Profit before tax,KOTAKBANK,,2519,3931,4411,5087,3686,4747,5224,5989,5586,5888,5614,6775,9811
Tax %,KOTAKBANK,,29%,25%,24%,24%,26%,25%,24%,24%,26%,25%,25%,23%,25%
Net Profit,KOTAKBANK,,1806,2989,3403,3892,2755,3608,3995,4566,4150,4461,4265,5337,7448
EPS in Rs,KOTAKBANK,,9.11,15.07,17.15,19.61,13.88,18.17,20.12,22.99,20.88,22.45,21.46,26.85,37.47
Gross NPA %,KOTAKBANK,,3.58%,3.16%,2.75%,2.37%,2.27%,2.09%,1.91%,1.76%,1.75%,1.69%,1.68%,1.38%,1.39%
Net NPA %,KOTAKBANK,,1.34%,1.09%,0.87%,0.71%,0.69%,0.60%,0.48%,0.41%,0.43%,0.39%,0.36%,0.36%,0.38%
Raw PDF,KOTAKBANK,,,,,,,,,,,,,,
Sales,KPIGREEN,,35,57,62,75,122,160,179,182,189,215,330,289,348
Expenses,KPIGREEN,,15,34,33,39,80,107,120,128,120,144,227,196,216
Operating Profit,KPIGREEN,,20,24,29,36,42,53,60,54,69,71,104,93,132
OPM %,KPIGREEN,,58%,41%,47%,48%,34%,33%,33%,30%,37%,33%,31%,32%,38%
Other Income,KPIGREEN,,0,0,0,1,0,0,0,2,1,1,1,3,0
Interest,KPIGREEN,,7,8,9,14,11,11,12,13,20,18,23,25,28
Depreciation,KPIGREEN,,5,2,3,4,5,6,6,6,9,10,10,11,14
Profit before tax,KPIGREEN,,9,15,17,18,26,36,43,37,41,44,72,60,91
Tax %,KPIGREEN,,13%,18%,22%,46%,15%,42%,19%,14%,19%,21%,29%,28%,27%
Net Profit,KPIGREEN,,8,12,13,10,22,21,34,32,33,35,51,43,66
EPS in Rs,KPIGREEN,,0.74,1.13,1.21,0.91,2.05,1.95,3.18,2.93,3.07,3.20,4.20,3.57,5.48
Raw PDF,KPIGREEN,,,,,,,,,,,,,,
Sales,KPITTECH,,567,591,622,652,686,745,917,1017,1098,1199,1257,1318,1365
Expenses,KPITTECH,,469,487,508,530,553,607,747,835,884,959,998,1045,1077
Operating Profit,KPITTECH,,98,104,115,121,133,138,170,182,214,240,259,272,288
OPM %,KPITTECH,,17%,18%,18%,19%,19%,19%,19%,18%,19%,20%,21%,21%,21%
Other Income,KPITTECH,,12,11,9,14,16,11,18,7,22,9,19,17,54
Interest,KPITTECH,,4,4,4,7,6,7,8,11,14,14,16,12,13
Depreciation,KPITTECH,,29,29,31,31,31,33,40,42,45,48,50,53,53
Profit before tax,KPITTECH,,78,82,88,97,112,109,139,136,177,188,212,224,277
Tax %,KPITTECH,,22%,21%,20%,17%,22%,23%,25%,18%,24%,25%,26%,26%,26%
Net Profit,KPITTECH,,60,65,70,81,88,84,104,112,134,141,157,166,204
EPS in Rs,KPITTECH,,2.20,2.37,2.55,2.88,3.12,3.05,3.67,4.07,4.89,5.14,5.67,6.00,7.45
Raw PDF,KPITTECH,,,,,,,,,,,,,,
Sales,KSCL,,630,148,126,67,686,167,144,74,736,171,143,98,803
Expenses,KSCL,,430,141,119,77,439,159,131,90,458,160,134,110,508
Operating Profit,KSCL,,200,6,7,-11,247,9,13,-17,278,11,9,-12,295
OPM %,KSCL,,32%,4%,6%,-16%,36%,5%,9%,-23%,38%,7%,6%,-12%,37%
Other Income,KSCL,,15,15,7,4,7,7,32,8,12,14,13,25,9
Interest,KSCL,,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,KSCL,,5,5,5,6,5,5,5,6,6,6,7,10,8
Profit before tax,KSCL,,210,17,9,-12,249,11,40,-14,284,19,15,3,297
Tax %,KSCL,,2%,22%,19%,-4%,2%,50%,4%,12%,3%,25%,25%,112%,2%
Net Profit,KSCL,,205,13,7,-12,245,5,38,-16,275,14,11,-0,291
EPS in Rs,KSCL,,33.77,2.19,1.31,-2.02,41.81,0.91,6.81,-2.77,48.91,2.45,2.11,-0.05,56.28
Raw PDF,KSCL,,,,,,,,,,,,,,
Sales,LALPATHLAB,,607,498,497,486,503,534,489,491,541,601,539,545,602
Expenses,LALPATHLAB,,418,357,388,364,385,390,376,375,395,424,398,401,432
Operating Profit,LALPATHLAB,,189,142,109,121,118,144,113,116,146,178,141,145,170
OPM %,LALPATHLAB,,31%,28%,22%,25%,23%,27%,23%,24%,27%,30%,26%,27%,28%
Other Income,LALPATHLAB,,14,14,12,12,8,9,10,14,14,18,18,18,21
Interest,LALPATHLAB,,5,5,9,12,8,11,9,9,8,8,7,7,6
Depreciation,LALPATHLAB,,19,20,31,38,36,39,38,38,35,36,36,37,35
Profit before tax,LALPATHLAB,,179,131,82,84,81,103,76,83,118,152,116,120,150
Tax %,LALPATHLAB,,25%,26%,29%,26%,28%,30%,30%,32%,29%,27%,29%,28%,28%
Net Profit,LALPATHLAB,,134,96,58,62,58,72,54,57,84,111,82,86,108
EPS in Rs,LALPATHLAB,,15.74,11.40,6.88,7.35,6.92,8.60,6.33,6.80,9.90,13.09,9.74,10.12,12.75
Raw PDF,LALPATHLAB,,,,,,,,,,,,,,
Sales,LATENTVIEW,,88,95,108,117,120,132,145,141,148,156,166,172,179
Expenses,LATENTVIEW,,61,68,76,82,85,95,103,111,120,125,129,131,141
Operating Profit,LATENTVIEW,,27,26,32,36,35,37,43,30,28,31,37,40,38
OPM %,LATENTVIEW,,31%,28%,30%,31%,29%,28%,29%,21%,19%,20%,22%,24%,21%
Other Income,LATENTVIEW,,4,4,28,8,10,9,22,15,18,17,23,16,17
Interest,LATENTVIEW,,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,LATENTVIEW,,2,2,2,2,2,2,2,2,2,2,2,2,3
Profit before tax,LATENTVIEW,,29,28,57,40,42,43,62,42,43,45,57,53,52
Tax %,LATENTVIEW,,22%,22%,13%,12%,25%,14%,15%,19%,23%,24%,18%,15%,25%
Net Profit,LATENTVIEW,,22,22,50,36,31,37,52,34,33,34,47,45,39
EPS in Rs,LATENTVIEW,,27.39,1.25,2.52,1.77,1.57,1.86,2.58,1.67,1.60,1.66,2.26,2.20,1.91
Raw PDF,LATENTVIEW,,,,,,,,,,,,,,
Sales,LT,,29335,34773,39563,52851,35853,42763,46390,58335,47882,51024,55128,67079,55120
Expenses,LT,,26163,30778,33581,44892,30443,36400,39736,49981,41566,43984,47929,58426,48074
Operating Profit,LT,,3171,3995,5982,7959,5410,6362,6653,8354,6316,7040,7199,8653,7046
OPM %,LT,,11%,11%,15%,15%,15%,15%,14%,14%,13%,14%,13%,13%,13%
Other Income,LT,,648,629,571,516,695,739,891,741,1146,1133,838,1135,921
Interest,LT,,827,779,2267,2147,2212,2304,2383,2334,2299,2272,2344,2345,2292
Depreciation,LT,,717,729,732,769,963,860,825,854,830,910,921,1021,998
Profit before tax,LT,,2275,3116,3554,5558,2929,3937,4336,5907,4332,4991,4772,6422,4677
Tax %,LT,,32%,28%,30%,28%,22%,28%,29%,25%,28%,23%,25%,22%,26%
Net Profit,LT,,1532,2232,2517,4138,2228,2785,3058,4459,3096,3846,3593,5013,3445
EPS in Rs,LT,,8.36,12.95,14.63,25.77,12.11,15.86,18.17,28.37,17.74,23.45,21.44,31.98,20.26
Raw PDF,LT,,,,,,,,,,,,,,
Sales,LTIM,,3462,3767,4138,4302,7644,8228,8620,8691,8702,8905,9017,8893,9143
Expenses,LTIM,,2815,3034,3306,3455,6151,6592,7245,7087,7067,7274,7432,7357,7536
Operating Profit,LTIM,,648,733,831,846,1494,1636,1375,1604,1636,1631,1585,1536,1606
OPM %,LTIM,,19%,19%,20%,20%,20%,20%,16%,18%,19%,18%,18%,17%,18%
Other Income,LTIM,,122,111,100,134,178,161,152,66,132,143,220,208,227
Interest,LTIM,,18,17,19,19,31,38,38,44,46,47,61,68,72
Depreciation,LTIM,,80,85,88,102,166,196,178,182,185,208,199,227,235
Profit before tax,LTIM,,672,742,824,860,1474,1563,1311,1444,1536,1519,1545,1448,1526
Tax %,LTIM,,26%,26%,26%,26%,25%,24%,24%,23%,25%,24%,24%,24%,26%
Net Profit,LTIM,,497,552,612,638,1106,1189,1001,1114,1152,1162,1169,1101,1135
EPS in Rs,LTIM,,28.39,31.48,34.93,36.34,63.06,40.18,33.82,37.65,38.92,39.26,39.49,37.14,38.28
Raw PDF,LTIM,,,,,,,,,,,,,,
Sales,LTTS,,1518,1608,1688,1756,2006,2282,2157,2371,2301,2386,2422,2538,2462
Expenses,LTTS,,1201,1258,1320,1376,1598,1844,1721,1890,1849,1911,1934,2035,2006
Operating Profit,LTTS,,318,349,367,380,408,437,436,480,453,476,488,503,456
OPM %,LTTS,,21%,22%,22%,22%,20%,19%,20%,20%,20%,20%,20%,20%,19%
Other Income,LTTS,,44,29,37,42,41,38,74,50,48,41,62,56,62
Interest,LTTS,,11,11,11,10,11,11,12,11,12,13,13,13,13
Depreciation,LTTS,,55,53,53,53,59,59,59,57,57,68,72,75,73
Profit before tax,LTTS,,296,314,340,359,379,406,439,462,431,436,466,471,433
Tax %,LTTS,,27%,27%,27%,27%,27%,26%,32%,26%,28%,28%,28%,28%,27%
Net Profit,LTTS,,217,231,250,263,276,301,298,341,312,316,337,341,314
EPS in Rs,LTTS,,20.58,21.87,23.59,24.83,26.09,28.41,28.11,32.20,29.44,29.84,31.79,32.24,29.63
Raw PDF,LTTS,,,,,,,,,,,,,,
Sales,LXCHEM,,736,608,860,880,757,652,655,730,729,652,694,792,718
Expenses,LXCHEM,,591,577,741,795,656,624,600,672,652,613,642,702,647
Operating Profit,LXCHEM,,145,31,119,85,100,29,55,58,77,39,52,90,71
OPM %,LXCHEM,,20%,5%,14%,10%,13%,4%,8%,8%,11%,6%,7%,11%,10%
Other Income,LXCHEM,,4,7,2,2,2,3,3,7,4,8,6,8,12
Interest,LXCHEM,,3,1,7,5,2,4,6,-1,5,2,1,-1,3
Depreciation,LXCHEM,,11,11,13,13,14,17,19,23,21,28,28,31,26
Profit before tax,LXCHEM,,136,25,100,69,87,10,34,43,56,18,30,68,54
Tax %,LXCHEM,,25%,42%,18%,-1%,26%,15%,19%,43%,31%,39%,8%,35%,36%
Net Profit,LXCHEM,,102,15,82,70,64,9,27,24,38,11,27,44,34
EPS in Rs,LXCHEM,,3.88,0.55,3.11,2.65,2.43,0.32,1.03,0.92,1.44,0.40,0.99,1.61,1.24
Raw PDF,LXCHEM,,,,,,,,,,,,,,
Sales,M&M,,19172,21470,23594,25934,28414,29870,30621,32456,33892,34436,35299,35452,37218
Expenses,M&M,,18184,16578,19068,21657,24016,24802,25368,26798,27642,28706,29075,28848,29975
Operating Profit,M&M,,987,4892,4526,4278,4399,5068,5254,5658,6249,5730,6224,6604,7243
OPM %,M&M,,5%,23%,19%,16%,15%,17%,17%,17%,18%,17%,18%,19%,19%
Other Income,M&M,,565,690,815,1135,675,1348,1184,662,1065,812,756,750,733
Interest,M&M,,1300,1285,1211,1222,1219,1382,1596,1634,1719,1835,1945,1989,2108
Depreciation,M&M,,802,852,919,935,960,1092,1110,1194,1128,1139,1123,1335,1248
Profit before tax,M&M,,-550,3445,3211,3256,2894,3943,3732,3492,4468,3568,3912,4030,4621
Tax %,M&M,,-40%,28%,23%,20%,18%,23%,20%,14%,18%,30%,24%,22%,23%
Net Profit,M&M,,-332,2491,2485,2608,2361,3021,2994,2998,3684,2484,2977,3125,3546
EPS in Rs,M&M,,3.41,15.51,15.99,18.00,17.66,22.30,21.53,21.20,28.21,18.88,21.38,22.15,26.40
Raw PDF,M&M,,,,,,,,,,,,,,
Sales,MANKIND,,,,,1726,2180,2426,2091,2053,2579,2708,2607,2441,2893
Expenses,MANKIND,,,,,1441,1724,1835,1654,1636,1924,2025,2000,1850,2212
Operating Profit,MANKIND,,,,,285,456,591,437,417,655,683,607,591,682
OPM %,MANKIND,,,,,16%,21%,24%,21%,20%,25%,25%,23%,24%,24%
Other Income,MANKIND,,,,,39,20,31,40,50,63,63,75,95,105
Interest,MANKIND,,,,,13,16,10,13,5,6,9,9,9,11
Depreciation,MANKIND,,,,,47,78,79,85,85,87,96,110,105,108
Profit before tax,MANKIND,,,,,263,382,533,379,377,624,641,562,572,668
Tax %,MANKIND,,,,,27%,22%,21%,22%,22%,21%,20%,18%,17%,19%
Net Profit,MANKIND,,,,,193,298,423,296,294,494,511,460,477,543
EPS in Rs,MANKIND,,,,,4.75,7.30,10.48,7.09,7.13,12.15,12.51,11.33,11.76,13.39
Raw PDF,MANKIND,,,,,,,,,,,,,,
Sales,MAPMYINDIA,,43,57,43,57,65,76,68,72,89,91,92,107,101
Expenses,MAPMYINDIA,,25,31,28,32,35,46,40,44,52,51,57,67,59
Operating Profit,MAPMYINDIA,,18,26,16,25,30,30,28,29,37,40,35,40,42
OPM %,MAPMYINDIA,,42%,46%,36%,44%,46%,40%,41%,40%,42%,44%,38%,37%,42%
Other Income,MAPMYINDIA,,9,13,9,12,6,8,11,10,8,8,12,12,10
Interest,MAPMYINDIA,,1,1,0,1,1,1,1,1,1,1,1,1,1
Depreciation,MAPMYINDIA,,2,2,2,2,2,2,2,4,3,4,4,4,5
Profit before tax,MAPMYINDIA,,25,37,22,34,34,36,36,34,42,44,42,47,47
Tax %,MAPMYINDIA,,17%,32%,15%,33%,28%,29%,17%,18%,24%,25%,26%,19%,24%
Net Profit,MAPMYINDIA,,21,25,19,23,24,25,30,28,32,33,31,38,36
EPS in Rs,MAPMYINDIA,,53.18,6.36,3.48,4.23,4.54,4.74,5.52,5.22,6.00,6.11,5.69,7.02,6.62
Raw PDF,MAPMYINDIA,,,,,,,,,,,,,,
Sales,MARICO,,2525,2419,2407,2161,2558,2496,2470,2240,2477,2476,2422,2278,2643
Expenses,MARICO,,2044,1996,1976,1815,2030,2063,2014,1847,1903,1979,1909,1836,2017
Operating Profit,MARICO,,481,423,431,346,528,433,456,393,574,497,513,442,626
OPM %,MARICO,,19%,17%,18%,16%,21%,17%,18%,18%,23%,20%,21%,19%,24%
Other Income,MARICO,,27,25,22,24,17,19,40,68,46,38,43,15,37
Interest,MARICO,,8,10,10,11,10,15,14,17,17,20,19,17,17
Depreciation,MARICO,,33,33,36,37,36,37,39,43,36,39,42,41,41
Profit before tax,MARICO,,467,405,407,322,499,400,443,401,567,476,495,399,605
Tax %,MARICO,,22%,22%,22%,20%,24%,23%,25%,24%,23%,24%,22%,20%,22%
Net Profit,MARICO,,365,316,317,257,377,307,333,305,436,360,386,320,474
EPS in Rs,MARICO,,2.76,2.39,2.40,1.94,2.87,2.33,2.54,2.34,3.30,2.73,2.96,2.46,3.58
Raw PDF,MARICO,,,,,,,,,,,,,,
Sales,MARUTI,,17776,20551,23253,26749,26512,29942,29251,32214,32535,37339,33513,38471,35779
Expenses,MARUTI,,16958,19694,21691,24320,24597,27172,25878,28320,29015,32022,29073,33250,30673
Operating Profit,MARUTI,,819,857,1562,2429,1915,2771,3373,3894,3520,5318,4440,5221,5107
OPM %,MARUTI,,5%,4%,7%,9%,7%,9%,12%,12%,11%,14%,13%,14%,14%
Other Income,MARUTI,,544,532,355,514,112,662,893,850,1110,952,1053,1261,1118
Interest,MARUTI,,22,23,25,56,28,31,30,164,46,35,36,76,57
