Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Dividend Payout %,RAYMOND,,,,,,,,21%,,,11%,,,,16%,,,,22%,,,30%,,,14%,,,11%,,,0%,,,0%,,,8%,,,4%,,,4%
Sales,REDTAPE,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,1468,,,1849
Expenses,REDTAPE,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,1224,,,1528
Operating Profit,REDTAPE,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,244,,,321
OPM %,REDTAPE,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,17%,,,17%
Other Income,REDTAPE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0,,,7,,,7
Interest,REDTAPE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,17,,,33
Depreciation,REDTAPE,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,44,,,59
Profit before tax,REDTAPE,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,189,,,236
Tax %,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,25%,,,25%
Net Profit,REDTAPE,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,142,,,176
EPS in Rs,REDTAPE,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29,,,12.75
Dividend Payout %,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%
Sales,RELAXO,2923,,,,,,,981,,,1180,,,,1441,,,,1668,,,1631,,,1941,,,2292,,,2410,,,2359,,,2653,,,2783,,,2914
Expenses,RELAXO,2525,,,,,,,871,,,1032,,,,1240,,,,1427,,,1400,,,1639,,,1964,,,1998,,,1861,,,2235,,,2442,,,2503
Operating Profit,RELAXO,398,,,,,,,110,,,148,,,,201,,,,241,,,231,,,302,,,328,,,413,,,498,,,418,,,341,,,411
OPM %,RELAXO,14%,,,,,,,11%,,,13%,,,,14%,,,,14%,,,14%,,,16%,,,14%,,,17%,,,21%,,,16%,,,12%,,,14%
Other Income,RELAXO,27,,,,,,,1,,,2,,,,0,,,,7,,,14,,,4,,,12,,,8,,,22,,,23,,,16,,,26
Interest,RELAXO,19,,,,,,,18,,,23,,,,18,,,,23,,,15,,,9,,,9,,,19,,,19,,,17,,,22,,,21
Depreciation,RELAXO,152,,,,,,,26,,,31,,,,40,,,,47,,,51,,,54,,,62,,,109,,,110,,,114,,,125,,,147
Profit before tax,RELAXO,254,,,,,,,68,,,96,,,,143,,,,178,,,178,,,244,,,268,,,292,,,391,,,311,,,210,,,269
Tax %,RELAXO,,,,,,,,34%,,,31%,,,,28%,,,,32%,,,33%,,,34%,,,35%,,,22%,,,25%,,,25%,,,26%,,,26%
Net Profit,RELAXO,189,,,,,,,45,,,66,,,,103,,,,120,,,120,,,161,,,175,,,226,,,292,,,233,,,154,,,200
EPS in Rs,RELAXO,7.58,,,,,,,1.87,,,2.74,,,,4.29,,,,5.01,,,4.99,,,6.69,,,7.07,,,9.11,,,11.74,,,9.35,,,6.21,,,8.05
Dividend Payout %,RELAXO,,,,,,,,5%,,,5%,,,,6%,,,,6%,,,10%,,,11%,,,13%,,,14%,,,21%,,,27%,,,40%,,,37%
Sales,RELIANCE,925289,,,,,,,395957,,,433521,,,,374372,,,,272583,,,303954,,,390823,,,568337,,,596679,,,466307,,,694673,,,876396,,,899041
Expenses,RELIANCE,762384,,,,,,,362802,,,398586,,,,336923,,,,230802,,,257647,,,326508,,,484087,,,507413,,,385517,,,586092,,,734078,,,736543
Operating Profit,RELIANCE,162905,,,,,,,33155,,,34935,,,,37449,,,,41781,,,46307,,,64315,,,84250,,,89266,,,80790,,,108581,,,142318,,,162498
OPM %,RELIANCE,18%,,,,,,,8%,,,8%,,,,10%,,,,15%,,,15%,,,16%,,,15%,,,15%,,,17%,,,16%,,,16%,,,18%
Other Income,RELIANCE,16438,,,,,,,7757,,,8865,,,,8528,,,,12212,,,9222,,,9869,,,8406,,,8570,,,22432,,,19600,,,12020,,,16179
Interest,RELIANCE,23199,,,,,,,3463,,,3836,,,,3316,,,,3691,,,3849,,,8052,,,16495,,,22027,,,21189,,,14584,,,19571,,,23118
Depreciation,RELIANCE,52653,,,,,,,11232,,,11201,,,,11547,,,,11565,,,11646,,,16706,,,20934,,,22203,,,26572,,,29782,,,40303,,,50832
Profit before tax,RELIANCE,103491,,,,,,,26217,,,28763,,,,31114,,,,38737,,,40034,,,49426,,,55227,,,53606,,,55461,,,83815,,,94464,,,104727
Tax %,RELIANCE,,,,,,,,20%,,,22%,,,,24%,,,,23%,,,25%,,,27%,,,28%,,,26%,,,3%,,,19%,,,22%,,,25%
Net Profit,RELIANCE,78207,,,,,,,20886,,,22548,,,,23640,,,,29861,,,29833,,,36080,,,39837,,,39880,,,53739,,,67845,,,74088,,,79020
EPS in Rs,RELIANCE,101.61,,,,,,,30.31,,,32.62,,,,34.14,,,,43.03,,,43.11,,,53.39,,,58.55,,,58.20,,,77.50,,,89.74,,,98.59,,,102.90
Dividend Payout %,RELIANCE,,,,,,,,13%,,,12%,,,,12%,,,,10%,,,11%,,,10%,,,10%,,,10%,,,9%,,,9%,,,9%,,,10%
Sales,ROSSARI,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,516,,,600,,,709,,,1483,,,1656,,,1831
Expenses,ROSSARI,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,495,,,586,,,1299,,,1433,,,1581
Operating Profit,ROSSARI,256,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,105,,,124,,,184,,,223,,,250
OPM %,ROSSARI,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,17%,,,17%,,,12%,,,13%,,,14%
Other Income,ROSSARI,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,9,,,13,,,6,,,8
Interest,ROSSARI,16,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,3,,,13,,,22,,,19
Depreciation,ROSSARI,62,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,17,,,23,,,48,,,63,,,60
Profit before tax,ROSSARI,185,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,88,,,107,,,136,,,144,,,178
Tax %,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%,,,26%,,,25%,,,28%,,,26%,,,26%
Net Profit,ROSSARI,136,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,65,,,80,,,98,,,107,,,131
EPS in Rs,ROSSARI,24.70,,,,,,,,,,,,,,,,,,,,,,,,,,,103.82,,,12.86,,,15.45,,,17.74,,,19.45,,,23.66
Dividend Payout %,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,4%,,,3%,,,3%,,,3%,,,2%
Sales,ROUTE,4159,,,,,,,,,,,,,,,,,,367,,,458,,,505,,,845,,,956,,,1406,,,2002,,,3569,,,4023
Expenses,ROUTE,3657,,,,,,,,,,,,,,,,,,288,,,375,,,433,,,758,,,855,,,1231,,,1782,,,3124,,,3510
Operating Profit,ROUTE,503,,,,,,,,,,,,,,,,,,80,,,82,,,72,,,87,,,101,,,175,,,220,,,445,,,514
OPM %,ROUTE,12%,,,,,,,,,,,,,,,,,,22%,,,18%,,,14%,,,10%,,,11%,,,12%,,,11%,,,12%,,,13%
Other Income,ROUTE,62,,,,,,,,,,,,,,,,,,4,,,5,,,5,,,8,,,-3,,,16,,,20,,,39,,,57
Interest,ROUTE,30,,,,,,,,,,,,,,,,,,1,,,1,,,7,,,12,,,6,,,4,,,7,,,22,,,30
Depreciation,ROUTE,87,,,,,,,,,,,,,,,,,,3,,,5,,,12,,,17,,,23,,,26,,,38,,,82,,,86
Profit before tax,ROUTE,448,,,,,,,,,,,,,,,,,,80,,,81,,,57,,,65,,,69,,,162,,,195,,,382,,,455
Tax %,ROUTE,,,,,,,,,,,,,,,,,,,22%,,,25%,,,17%,,,15%,,,16%,,,18%,,,13%,,,13%,,,15%
Net Profit,ROUTE,378,,,,,,,,,,,,,,,,,,63,,,61,,,48,,,56,,,58,,,133,,,170,,,333,,,389
EPS in Rs,ROUTE,57.61,,,,,,,,,,,,,,,,,,31.37,,,12.13,,,9.74,,,11.38,,,11.65,,,23.10,,,26.36,,,52.38,,,59.74
Dividend Payout %,ROUTE,,,,,,,,,,,,,,,,,,,35%,,,0%,,,15%,,,13%,,,13%,,,9%,,,19%,,,21%,,,18%
Sales,RVNL,20391,,,,,,,,,,,,,,3147,,,,4540,,,5915,,,7597,,,10069,,,14531,,,15404,,,19382,,,20282,,,21889
Expenses,RVNL,19206,,,,,,,,,,,,,,3001,,,,4323,,,5688,,,7215,,,9538,,,13757,,,14524,,,18199,,,19035,,,20536
Operating Profit,RVNL,1185,,,,,,,,,,,,,,146,,,,217,,,228,,,382,,,531,,,773,,,880,,,1183,,,1247,,,1353
OPM %,RVNL,6%,,,,,,,,,,,,,,5%,,,,5%,,,4%,,,5%,,,5%,,,5%,,,6%,,,6%,,,6%,,,6%
Other Income,RVNL,1266,,,,,,,,,,,,,,123,,,,180,,,356,,,331,,,366,,,246,,,808,,,831,,,1155,,,1291
Interest,RVNL,560,,,,,,,,,,,,,,15,,,,23,,,35,,,45,,,52,,,41,,,458,,,564,,,581,,,568
Depreciation,RVNL,22,,,,,,,,,,,,,,5,,,,5,,,5,,,5,,,6,,,20,,,23,,,21,,,22,,,21
Profit before tax,RVNL,1869,,,,,,,,,,,,,,248,,,,370,,,543,,,664,,,839,,,958,,,1207,,,1430,,,1798,,,2054
Tax %,RVNL,,,,,,,,,,,,,,,16%,,,,19%,,,18%,,,14%,,,18%,,,21%,,,18%,,,22%,,,21%,,,23%
Net Profit,RVNL,1455,,,,,,,,,,,,,,337,,,,429,,,443,,,570,,,688,,,757,,,992,,,1110,,,1421,,,1574
EPS in Rs,RVNL,6.98,,,,,,,,,,,,,,1.62,,,,2.06,,,2.13,,,2.73,,,3.30,,,3.63,,,4.76,,,5.32,,,6.81,,,7.55
Dividend Payout %,RVNL,,,,,,,,,,,,,,,11%,,,,9%,,,58%,,,29%,,,27%,,,31%,,,33%,,,34%,,,31%,,,28%
Revenue,SBICARD,17415,,,,,,,1008,,,1438,,,,1822,,,,2392,,,3347,,,5195,,,7017,,,9281,,,9301,,,10679,,,13670,,,16986
Interest,SBICARD,2791,,,,,,,210,,,300,,,,378,,,,436,,,528,,,712,,,1009,,,1301,,,1043,,,1027,,,1648,,,2595
Expenses,SBICARD,11696,,,,,,,713,,,918,,,,1255,,,,1617,,,2366,,,3715,,,4887,,,6618,,,7223,,,7953,,,9444,,,11460
Financing Profit,SBICARD,2928,,,,,,,85,,,220,,,,189,,,,339,,,452,,,769,,,1121,,,1362,,,1034,,,1699,,,2579,,,2931
Financing Margin %,SBICARD,17%,,,,,,,8%,,,15%,,,,10%,,,,14%,,,14%,,,15%,,,16%,,,15%,,,11%,,,16%,,,19%,,,17%
Other Income,SBICARD,505,,,,,,,52,,,74,,,,82,,,,100,,,124,,,175,,,270,,,471,,,413,,,622,,,615,,,498
Depreciation,SBICARD,199,,,,,,,1,,,1,,,,1,,,,1,,,5,,,24,,,55,,,104,,,123,,,149,,,164,,,197
Profit before tax,SBICARD,3234,,,,,,,136,,,293,,,,271,,,,438,,,572,,,919,,,1335,,,1730,,,1324,,,2172,,,3031,,,3232
Tax %,SBICARD,,,,,,,,-1%,,,0%,,,,1%,,,,35%,,,35%,,,35%,,,35%,,,28%,,,26%,,,26%,,,25%,,,25%
Net Profit,SBICARD,2409,,,,,,,136,,,293,,,,267,,,,284,,,373,,,601,,,865,,,1245,,,985,,,1616,,,2258,,,2408
EPS in Rs,SBICARD,25.37,,,,,,,1.74,,,3.73,,,,3.40,,,,3.62,,,4.75,,,7.66,,,10.33,,,13.26,,,10.47,,,17.14,,,23.87,,,25.32
Dividend Payout %,SBICARD,,,,,,,,0%,,,0%,,,,15%,,,,28%,,,21%,,,0%,,,10%,,,8%,,,0%,,,15%,,,10%,,,10%
Revenue,SBIN,455971,,,,,,,167976,,,189062,,,,207974,,,,220633,,,230447,,,228970,,,253322,,,269852,,,278115,,,289973,,,350845,,,439189
Interest,SBIN,273392,,,,,,,106818,,,121479,,,,133179,,,,143047,,,149115,,,146603,,,155867,,,161124,,,156010,,,156194,,,189981,,,259736
Expenses,SBIN,241415,,,,,,,66283,,,82198,,,,96675,,,,109985,,,145666,,,169065,,,166104,,,172909,,,192821,,,197349,,,204303,,,239750
Financing Profit,SBIN,-58836,,,,,,,-5124,,,-14614,,,,-21879,,,,-32399,,,-64334,,,-86697,,,-68649,,,-64181,,,-70715,,,-63570,,,-43439,,,-60297
Financing Margin %,SBIN,-13%,,,,,,,-3%,,,-8%,,,,-11%,,,,-15%,,,-28%,,,-38%,,,-27%,,,-24%,,,-25%,,,-22%,,,-12%,,,-14%
Other Income,SBIN,151296,,,,,,,32584,,,37882,,,,49315,,,,52828,,,68193,,,77557,,,77365,,,98159,,,107222,,,117000,,,122534,,,155386
Depreciation,SBIN,0,,,,,,,1577,,,1942,,,,1581,,,,2252,,,2915,,,3105,,,3496,,,3662,,,3711,,,3691,,,3696,,,3849
Profit before tax,SBIN,92460,,,,,,,25882,,,21326,,,,25855,,,,18177,,,945,,,-12245,,,5220,,,30317,,,32796,,,49739,,,75399,,,91240
Tax %,SBIN,,,,,,,,29%,,,32%,,,,32%,,,,30%,,,141%,,,-66%,,,41%,,,40%,,,26%,,,27%,,,25%,,,25%
Net Profit,SBIN,70543,,,,,,,18555,,,14807,,,,17832,,,,13019,,,-97,,,-3749,,,3351,,,21140,,,23888,,,37183,,,57750,,,69543
EPS in Rs,SBIN,76.05,,,,,,,26.19,,,18.99,,,,22.76,,,,15.75,,,0.30,,,-5.11,,,2.58,,,22.15,,,25.11,,,39.64,,,62.35,,,75.17
Dividend Payout %,SBIN,,,,,,,,16%,,,16%,,,,15%,,,,17%,,,859%,,,0%,,,0%,,,0%,,,16%,,,18%,,,18%,,,18%
Sales,SIEMENS,21586,,9620,,11955,,,,,,,,10678,,,,10563,,,10837,,,11065,,,12795,,,13084,,,9946,,,13198,,,16138,,,19554,,
Expenses,SIEMENS,18720,,8441,,10784,,,,,,,,10559,,,,9565,,,9815,,,10008,,,11468,,,11594,,,8944,,,11746,,,14278,,,17096,,
Operating Profit,SIEMENS,2866,,1179,,1171,,,,,,,,119,,,,998,,,1021,,,1056,,,1327,,,1490,,,1003,,,1452,,,1860,,,2457,,
OPM %,SIEMENS,13%,,12%,,10%,,,,,,,,1%,,,,9%,,,9%,,,10%,,,10%,,,11%,,,10%,,,11%,,,12%,,,13%,,
Other Income,SIEMENS,788,,216,,299,,,,,,,,985,,,,943,,,3156,,,818,,,280,,,398,,,315,,,321,,,487,,,526,,
Interest,SIEMENS,45,,20,,26,,,,,,,,31,,,,30,,,11,,,8,,,8,,,12,,,30,,,24,,,36,,,23,,
Depreciation,SIEMENS,323,,169,,154,,,,,,,,229,,,,224,,,228,,,198,,,198,,,199,,,252,,,297,,,317,,,321,,
Profit before tax,SIEMENS,3286,,1207,,1290,,,,,,,,844,,,,1688,,,3938,,,1669,,,1402,,,1678,,,1036,,,1452,,,1993,,,2640,,
Tax %,SIEMENS,,,37%,,33%,,,,,,,,28%,,,,30%,,,26%,,,32%,,,36%,,,34%,,,26%,,,25%,,,23%,,,26%,,
Net Profit,SIEMENS,2458,,757,,868,,,,,,,,603,,,,1174,,,2914,,,1137,,,901,,,1099,,,769,,,1089,,,1543,,,1962,,
EPS in Rs,SIEMENS,68.98,,,,,,,,,,,,16.94,,,,32.98,,,81.82,,,31.92,,,25.31,,,30.87,,,21.58,,,30.57,,,43.33,,,55.06,,
Dividend Payout %,SIEMENS,,,22%,,24%,,,,,,,,35%,,,,30%,,,41%,,,22%,,,28%,,,23%,,,32%,,,26%,,,23%,,,18%,,
Sales,SONACOMS,3345,,,,,,,,,,,,,,,,,,,,,,,,612,,,699,,,1038,,,1566,,,2131,,,2676,,,3185
Expenses,SONACOMS,2396,,,,,,,,,,,,,,,,,,,,,,,,450,,,499,,,795,,,1125,,,1571,,,1980,,,2282
Operating Profit,SONACOMS,949,,,,,,,,,,,,,,,,,,,,,,,,162,,,200,,,243,,,441,,,560,,,696,,,902
OPM %,SONACOMS,28%,,,,,,,,,,,,,,,,,,,,,,,,26%,,,29%,,,23%,,,28%,,,26%,,,26%,,,28%
Other Income,SONACOMS,21,,,,,,,,,,,,,,,,,,,,,,,,3,,,76,,,237,,,-12,,,32,,,8,,,15
Interest,SONACOMS,29,,,,,,,,,,,,,,,,,,,,,,,,19,,,18,,,26,,,33,,,18,,,17,,,26
Depreciation,SONACOMS,230,,,,,,,,,,,,,,,,,,,,,,,,23,,,31,,,67,,,97,,,142,,,178,,,220
Profit before tax,SONACOMS,711,,,,,,,,,,,,,,,,,,,,,,,,122,,,228,,,387,,,300,,,432,,,509,,,671
Tax %,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,,37%,,,24%,,,7%,,,28%,,,16%,,,22%,,,23%
Net Profit,SONACOMS,547,,,,,,,,,,,,,,,,,,,,,,,,78,,,173,,,360,,,215,,,362,,,395,,,518
EPS in Rs,SONACOMS,9.34,,,,,,,,,,,,,,,,,,,,,,,,27.93,,,62.40,,,76.42,,,3.76,,,6.19,,,6.75,,,8.82
Dividend Payout %,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,55%,,,504%,,,25%,,,42%,,,35%
Sales,SPICELEC,9,,,,,,,81,,,63,,,,47,,,,26,,,36,,,42,,,26,,,37,,,16,,,9,,,11,,,12
Expenses,SPICELEC,12,,,,,,,70,,,49,,,,35,,,,35,,,38,,,44,,,34,,,31,,,22,,,12,,,7,,,14
Operating Profit,SPICELEC,-3,,,,,,,11,,,15,,,,12,,,,-10,,,-2,,,-3,,,-8,,,6,,,-6,,,-2,,,4,,,-2
OPM %,SPICELEC,-37%,,,,,,,13%,,,23%,,,,26%,,,,-37%,,,-6%,,,-7%,,,-30%,,,16%,,,-35%,,,-24%,,,35%,,,-16%
Other Income,SPICELEC,-7,,,,,,,1,,,1,,,,1,,,,-0,,,-21,,,4,,,5,,,2,,,3,,,-4,,,-2,,,-9
Interest,SPICELEC,3,,,,,,,6,,,5,,,,4,,,,3,,,2,,,3,,,3,,,1,,,1,,,1,,,3,,,3
Depreciation,SPICELEC,3,,,,,,,12,,,11,,,,10,,,,11,,,7,,,6,,,5,,,5,,,4,,,5,,,4,,,3
Profit before tax,SPICELEC,-16,,,,,,,-6,,,0,,,,-0,,,,-24,,,-32,,,-8,,,-11,,,1,,,-8,,,-12,,,-5,,,-16
Tax %,SPICELEC,,,,,,,,-20%,,,-60%,,,,-27%,,,,-16%,,,-5%,,,2%,,,-2%,,,21%,,,2%,,,2%,,,-32%,,,3%
Net Profit,SPICELEC,-16,,,,,,,-5,,,0,,,,-0,,,,-20,,,-31,,,-8,,,-11,,,1,,,-9,,,-13,,,-3,,,-17
EPS in Rs,SPICELEC,-3.54,,,,,,,-0.99,,,0.07,,,,-0.08,,,,-4.29,,,-6.64,,,-1.84,,,-2.33,,,0.23,,,-1.87,,,-2.77,,,-0.67,,,-3.64
Dividend Payout %,SPICELEC,,,,,,,,-0%,,,-0%,,,,-0%,,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%
Sales,SRF,13264,,,,,,,3783,,,4018,,,,4540,,,,4593,,,4822,,,5589,,,7100,,,7209,,,8400,,,12434,,,14870,,,13139
Expenses,SRF,10773,,,,,,,3169,,,3513,,,,3822,,,,3630,,,3852,,,4683,,,5803,,,5754,,,6267,,,9330,,,11341,,,10554
Operating Profit,SRF,2491,,,,,,,614,,,505,,,,717,,,,963,,,969,,,906,,,1297,,,1455,,,2133,,,3103,,,3529,,,2584
OPM %,SRF,19%,,,,,,,16%,,,13%,,,,16%,,,,21%,,,20%,,,16%,,,18%,,,20%,,,25%,,,25%,,,24%,,,20%
Other Income,SRF,97,,,,,,,42,,,24,,,,65,,,,28,,,73,,,115,,,78,,,152,,,66,,,116,,,75,,,83
Interest,SRF,333,,,,,,,100,,,96,,,,138,,,,130,,,102,,,124,,,198,,,201,,,134,,,116,,,205,,,302
Depreciation,SRF,704,,,,,,,209,,,225,,,,245,,,,275,,,283,,,316,,,358,,,389,,,453,,,517,,,575,,,673
Profit before tax,SRF,1550,,,,,,,348,,,208,,,,399,,,,585,,,657,,,582,,,818,,,1018,,,1612,,,2586,,,2824,,,1692
Tax %,SRF,,,,,,,,27%,,,22%,,,,24%,,,,27%,,,22%,,,21%,,,22%,,,-0%,,,26%,,,27%,,,23%,,,21%
Net Profit,SRF,1229,,,,,,,253,,,162,,,,303,,,,430,,,515,,,462,,,642,,,1019,,,1198,,,1889,,,2162,,,1336
EPS in Rs,SRF,41.45,,,,,,,8.81,,,5.66,,,,10.55,,,,14.97,,,17.94,,,16.08,,,22.33,,,35.46,,,40.44,,,63.72,,,72.95,,,45.06
Dividend Payout %,SRF,,,,,,,,23%,,,36%,,,,19%,,,,14%,,,14%,,,15%,,,11%,,,8%,,,12%,,,26%,,,10%,,,16%
Sales,SUNPHARMA,49209,,,,,,,11131,,,16080,,,,27392,,,,28487,,,31578,,,26489,,,29066,,,32838,,,33498,,,38654,,,43886,,,48497
Expenses,SUNPHARMA,35910,,,,,,,6346,,,9078,,,,19498,,,,20313,,,21476,,,20858,,,22689,,,25855,,,25028,,,28397,,,32235,,,35479
Operating Profit,SUNPHARMA,13299,,,,,,,4784,,,7003,,,,7894,,,,8174,,,10102,,,5631,,,6377,,,6983,,,8470,,,10258,,,11650,,,13018
OPM %,SUNPHARMA,27%,,,,,,,43%,,,44%,,,,29%,,,,29%,,,32%,,,21%,,,22%,,,21%,,,25%,,,27%,,,27%,,,27%
Other Income,SUNPHARMA,1511,,,,,,,-90,,,-1968,,,,283,,,,-42,,,610,,,-135,,,-258,,,382,,,-3449,,,-3505,,,459,,,865
Interest,SUNPHARMA,219,,,,,,,43,,,44,,,,579,,,,523,,,400,,,518,,,555,,,303,,,141,,,127,,,172,,,238
Depreciation,SUNPHARMA,2560,,,,,,,336,,,409,,,,1195,,,,1038,,,1265,,,1500,,,1753,,,2053,,,2080,,,2144,,,2529,,,2557
Profit before tax,SUNPHARMA,12030,,,,,,,4315,,,4581,,,,6403,,,,6571,,,9048,,,3479,,,3810,,,5010,,,2799,,,4481,,,9408,,,11088
Tax %,SUNPHARMA,,,,,,,,20%,,,15%,,,,14%,,,,14%,,,13%,,,26%,,,16%,,,16%,,,18%,,,24%,,,9%,,,13%
Net Profit,SUNPHARMA,10465,,,,,,,3469,,,3879,,,,5476,,,,5658,,,7846,,,2542,,,3208,,,4172,,,2272,,,3389,,,8513,,,9610
EPS in Rs,SUNPHARMA,43.30,,,,,,,14.40,,,15.17,,,,21.92,,,,18.89,,,29.03,,,8.73,,,11.11,,,15.69,,,12.10,,,13.64,,,35.32,,,39.91
Dividend Payout %,SUNPHARMA,,,,,,,,9%,,,10%,,,,14%,,,,5%,,,12%,,,23%,,,25%,,,25%,,,62%,,,73%,,,33%,,,34%
Sales,TATACONSUM,15817,,,,,,,7351,,,7738,,,,7993,,,,6637,,,6780,,,6815,,,7252,,,9637,,,11602,,,12425,,,13783,,,15206
Expenses,TATACONSUM,13410,,,,,,,6581,,,6986,,,,7201,,,,6271,,,5988,,,5976,,,6466,,,8345,,,10058,,,10707,,,11927,,,12922
Operating Profit,TATACONSUM,2406,,,,,,,770,,,752,,,,792,,,,366,,,791,,,839,,,786,,,1292,,,1544,,,1719,,,1856,,,2284
OPM %,TATACONSUM,15%,,,,,,,10%,,,10%,,,,10%,,,,6%,,,12%,,,12%,,,11%,,,13%,,,13%,,,14%,,,13%,,,15%
Other Income,TATACONSUM,-112,,,,,,,56,,,170,,,,-77,,,,38,,,88,,,73,,,124,,,-163,,,91,,,88,,,328,,,-81
Interest,TATACONSUM,197,,,,,,,84,,,87,,,,82,,,,117,,,92,,,43,,,52,,,78,,,69,,,73,,,87,,,130
Depreciation,TATACONSUM,443,,,,,,,105,,,129,,,,133,,,,117,,,126,,,116,,,123,,,242,,,255,,,278,,,304,,,377
Profit before tax,TATACONSUM,1654,,,,,,,637,,,707,,,,500,,,,170,,,662,,,753,,,735,,,809,,,1311,,,1456,,,1794,,,1696
Tax %,TATACONSUM,,,,,,,,26%,,,26%,,,,43%,,,,118%,,,30%,,,25%,,,36%,,,34%,,,24%,,,26%,,,25%,,,23%
Net Profit,TATACONSUM,1167,,,,,,,445,,,510,,,,273,,,,-37,,,455,,,556,,,457,,,460,,,930,,,1015,,,1320,,,1215
EPS in Rs,TATACONSUM,11.52,,,,,,,5.81,,,7.48,,,,3.86,,,,-0.08,,,5.94,,,7.56,,,6.23,,,4.80,,,8.95,,,9.78,,,12.48,,,11.63
Dividend Payout %,TATACONSUM,,,,,,,,36%,,,29%,,,,6%,,,,"-2,572%",,,38%,,,30%,,,39%,,,54%,,,44%,,,60%,,,65%,,,64%
Sales,TATAELXSI,3628,,,,,,,605,,,772,,,,849,,,,1075,,,1237,,,1386,,,1597,,,1610,,,1826,,,2471,,,3145,,,3552
Expenses,TATAELXSI,2581,,,,,,,535,,,635,,,,672,,,,827,,,964,,,1039,,,1181,,,1266,,,1303,,,1704,,,2182,,,2505
Operating Profit,TATAELXSI,1047,,,,,,,70,,,137,,,,177,,,,248,,,274,,,347,,,416,,,344,,,524,,,767,,,962,,,1047
OPM %,TATAELXSI,29%,,,,,,,12%,,,18%,,,,21%,,,,23%,,,22%,,,25%,,,26%,,,21%,,,29%,,,31%,,,31%,,,29%
Other Income,TATAELXSI,132,,,,,,,-10,,,16,,,,4,,,,12,,,18,,,43,,,43,,,58,,,40,,,45,,,74,,,122
Interest,TATAELXSI,21,,,,,,,5,,,3,,,,1,,,,1,,,1,,,1,,,1,,,7,,,7,,,10,,,17,,,21
Depreciation,TATAELXSI,105,,,,,,,24,,,35,,,,25,,,,23,,,27,,,25,,,25,,,43,,,44,,,55,,,81,,,99
Profit before tax,TATAELXSI,1053,,,,,,,32,,,115,,,,156,,,,236,,,264,,,364,,,433,,,352,,,512,,,745,,,938,,,1049
Tax %,TATAELXSI,,,,,,,,34%,,,35%,,,,34%,,,,34%,,,34%,,,34%,,,33%,,,27%,,,28%,,,26%,,,19%,,,24%
Net Profit,TATAELXSI,788,,,,,,,21,,,75,,,,103,,,,155,,,175,,,240,,,290,,,256,,,368,,,550,,,755,,,792
EPS in Rs,TATAELXSI,126.48,,,,,,,3.37,,,12.06,,,,16.52,,,,24.85,,,28.05,,,38.54,,,46.56,,,41.12,,,59.11,,,88.26,,,121.26,,,127.21
Dividend Payout %,TATAELXSI,,,,,,,,74%,,,37%,,,,33%,,,,28%,,,29%,,,29%,,,29%,,,40%,,,81%,,,48%,,,50%,,,55%
