Cash Flows,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Net Cash Flow,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,167.0,,,-121.0,,,-47.0,,,27.0
Cash from Operating Activity,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,78.0,,,72.0,,,56.0
Cash from Investing Activity,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,,,-28.0,,,-19.0,,,-35.0
Cash from Financing Activity,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.0,,,-39.0,,,-82.0,,,-28.0
Net Cash Flow,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,11.0,,,-29.0,,,-6.0
Cash from Operating Activity,MUTHOOTFIN,,,,,,,,,,,,,,-479.0,,,,108.0,,,-2186.0,,,-1432.0,,,-4824.0,,,-4970.0,,,-7814.0,,,-1596.0,,,-2804.0,,,-13754.0
Cash from Investing Activity,MUTHOOTFIN,,,,,,,,,,,,,,21.0,,,,-43.0,,,-177.0,,,-126.0,,,-162.0,,,-385.0,,,37.0,,,410.0,,,180.0,,,-47.0
Cash from Financing Activity,MUTHOOTFIN,,,,,,,,,,,,,,249.0,,,,-1102.0,,,3027.0,,,824.0,,,6351.0,,,9193.0,,,9712.0,,,3445.0,,,395.0,,,11958.0
Net Cash Flow,MUTHOOTFIN,,,,,,,,,,,,,,-209.0,,,,-1036.0,,,664.0,,,-734.0,,,1364.0,,,3838.0,,,1935.0,,,2260.0,,,-2229.0,,,-1844.0
Cash from Operating Activity,NAUKRI,,,,,,,75.0,,,81.0,,,,51.0,,,,78.0,,,213.0,,,253.0,,,276.0,,,350.0,,,276.0,,,707.0,,,512.0,,,702.0
Cash from Investing Activity,NAUKRI,,,,,,,-46.0,,,-204.0,,,,-1051.0,,,,-2.0,,,-165.0,,,-149.0,,,-59.0,,,97.0,,,-2043.0,,,-1177.0,,,-358.0,,,-852.0
Cash from Financing Activity,NAUKRI,,,,,,,-12.0,,,130.0,,,,1025.0,,,,-66.0,,,-42.0,,,-75.0,,,-78.0,,,-143.0,,,1880.0,,,35.0,,,2.0,,,120.0
Net Cash Flow,NAUKRI,,,,,,,16.0,,,7.0,,,,25.0,,,,11.0,,,7.0,,,29.0,,,138.0,,,304.0,,,113.0,,,-435.0,,,156.0,,,-29.0
Cash from Operating Activity,NAVINFLUOR,,,,,,,73.0,,,74.0,,,,1.0,,,,76.0,,,92.0,,,169.0,,,90.0,,,157.0,,,237.0,,,75.0,,,-64.0,,,750.0
Cash from Investing Activity,NAVINFLUOR,,,,,,,41.0,,,-26.0,,,,3.0,,,,-53.0,,,-16.0,,,-136.0,,,-24.0,,,85.0,,,-237.0,,,-172.0,,,-656.0,,,-1093.0
Cash from Financing Activity,NAVINFLUOR,,,,,,,-100.0,,,-49.0,,,,-21.0,,,,-17.0,,,-67.0,,,-39.0,,,-68.0,,,-81.0,,,-45.0,,,42.0,,,658.0,,,336.0
Net Cash Flow,NAVINFLUOR,,,,,,,13.0,,,-1.0,,,,-17.0,,,,6.0,,,10.0,,,-6.0,,,-3.0,,,161.0,,,-45.0,,,-56.0,,,-61.0,,,-8.0
Cash from Operating Activity,NAZARA,,,,,,,,,,,,,,,,,,59.0,,,57.0,,,3.0,,,19.0,,,-2.0,,,68.0,,,62.0,,,8.0,,,91.0
Cash from Investing Activity,NAZARA,,,,,,,,,,,,,,,,,,-6.0,,,-61.0,,,-17.0,,,-60.0,,,18.0,,,-271.0,,,-329.0,,,-89.0,,,-603.0
Cash from Financing Activity,NAZARA,,,,,,,,,,,,,,,,,,-20.0,,,0.0,,,37.0,,,6.0,,,3.0,,,217.0,,,335.0,,,15.0,,,946.0
Net Cash Flow,NAZARA,,,,,,,,,,,,,,,,,,33.0,,,-5.0,,,24.0,,,-35.0,,,19.0,,,14.0,,,68.0,,,-66.0,,,434.0
Cash from Operating Activity,NEOGEN,,,,,,,,,,,,,,9.0,,,,9.0,,,0.0,,,12.0,,,-4.0,,,-35.0,,,84.0,,,1.0,,,-30.0,,,-29.0
Cash from Investing Activity,NEOGEN,,,,,,,,,,,,,,-2.0,,,,-4.0,,,-33.0,,,-13.0,,,-20.0,,,-29.0,,,-135.0,,,-146.0,,,-94.0,,,-216.0
Cash from Financing Activity,NEOGEN,,,,,,,,,,,,,,-6.0,,,,-4.0,,,33.0,,,0.0,,,24.0,,,63.0,,,51.0,,,188.0,,,100.0,,,237.0
Net Cash Flow,NEOGEN,,,,,,,,,,,,,,1.0,,,,0.0,,,1.0,,,-1.0,,,0.0,,,-1.0,,,0.0,,,44.0,,,-25.0,,,-8.0
Cash from Operating Activity,NESTLEIND,,,,,,,,,1796.0,,,,1644.0,,,,1098.0,,,1466.0,,,1818.0,,,2052.0,,,2295.0,,,2454.0,,,2236.0,,,2737.0,,,3392.0,4175.0
Cash from Investing Activity,NESTLEIND,,,,,,,,,-441.0,,,,-432.0,,,,-70.0,,,-126.0,,,-131.0,,,-52.0,,,83.0,,,-321.0,,,-1920.0,,,-392.0,,,-927.0,-1237.0
Cash from Financing Activity,NESTLEIND,,,,,,,,,-580.0,,,,-1635.0,,,,-498.0,,,-666.0,,,-997.0,,,-1317.0,,,-3602.0,,,-1956.0,,,-2020.0,,,-2123.0,,,-2436.0,-3135.0
Net Cash Flow,NESTLEIND,,,,,,,,,775.0,,,,-423.0,,,,529.0,,,674.0,,,691.0,,,683.0,,,-1223.0,,,177.0,,,-1704.0,,,223.0,,,29.0,-198.0
Cash from Operating Activity,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,-10.0,,,5.0,,,27.0,,,18.0
Cash from Investing Activity,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,-3.0,,,-2.0,,,-5.0,,,-14.0,,,-145.0
Cash from Financing Activity,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,1.0,,,12.0,,,0.0,,,-8.0,,,209.0
Net Cash Flow,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,0.0,,,0.0,,,5.0,,,83.0
Cash from Operating Activity,PAGEIND,,,,,,,87.0,,,75.0,,,,167.0,,,,219.0,,,274.0,,,453.0,,,230.0,,,517.0,,,696.0,,,327.0,,,-2.0,,,1080.0
Cash from Investing Activity,PAGEIND,,,,,,,-42.0,,,-49.0,,,,-53.0,,,,-26.0,,,-108.0,,,-238.0,,,192.0,,,-27.0,,,-401.0,,,119.0,,,36.0,,,-370.0
Cash from Financing Activity,PAGEIND,,,,,,,-44.0,,,-27.0,,,,-113.0,,,,-189.0,,,-154.0,,,-188.0,,,-443.0,,,-378.0,,,-366.0,,,-396.0,,,-179.0,,,-621.0
Net Cash Flow,PAGEIND,,,,,,,1.0,,,-1.0,,,,1.0,,,,4.0,,,12.0,,,27.0,,,-22.0,,,113.0,,,-71.0,,,49.0,,,-145.0,,,89.0
Cash from Operating Activity,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,4.0,,,12.0,,,46.0,,,-46.0
Cash from Investing Activity,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,,,-6.0,,,-77.0,,,10.0,,,-2.0
Cash from Financing Activity,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,5.0,,,63.0,,,-41.0,,,33.0
Net Cash Flow,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,-2.0,,,15.0,,,-14.0
Cash from Operating Activity,PERSISTENT,,,,,,,216.0,,,281.0,,,,312.0,,,,254.0,,,286.0,,,421.0,,,432.0,,,352.0,,,736.0,,,845.0,,,956.0,,,1221.0
Cash from Investing Activity,PERSISTENT,,,,,,,-171.0,,,-198.0,,,,-230.0,,,,-86.0,,,-222.0,,,-337.0,,,-233.0,,,-6.0,,,-540.0,,,-971.0,,,-383.0,,,-432.0
Cash from Financing Activity,PERSISTENT,,,,,,,-39.0,,,-50.0,,,,-66.0,,,,-127.0,,,-58.0,,,-96.0,,,-160.0,,,-329.0,,,-144.0,,,182.0,,,-404.0,,,-594.0
Net Cash Flow,PERSISTENT,,,,,,,7.0,,,33.0,,,,16.0,,,,41.0,,,6.0,,,-12.0,,,39.0,,,16.0,,,52.0,,,56.0,,,169.0,,,196.0
Cash from Operating Activity,PIDILITIND,,,,,,,472.0,,,394.0,,,,552.0,,,,907.0,,,794.0,,,796.0,,,845.0,,,1280.0,,,1392.0,,,955.0,,,1558.0,,,2724.0
Cash from Investing Activity,PIDILITIND,,,,,,,-144.0,,,-99.0,,,,-436.0,,,,-491.0,,,-879.0,,,39.0,,,-513.0,,,103.0,,,-1688.0,,,-558.0,,,-899.0,,,-1769.0
Cash from Financing Activity,PIDILITIND,,,,,,,-339.0,,,-242.0,,,,-165.0,,,,-371.0,,,41.0,,,-790.0,,,-361.0,,,-849.0,,,-76.0,,,-468.0,,,-656.0,,,-742.0
Net Cash Flow,PIDILITIND,,,,,,,-12.0,,,54.0,,,,-49.0,,,,45.0,,,-45.0,,,46.0,,,-29.0,,,533.0,,,-372.0,,,-71.0,,,2.0,,,212.0
Cash from Operating Activity,PIIND,,,,,,,102.0,,,219.0,,,,184.0,,,,367.0,,,339.0,,,319.0,,,391.0,,,698.0,,,725.0,,,529.0,,,1501.0,,,2036.0
Cash from Investing Activity,PIIND,,,,,,,-145.0,,,-50.0,,,,-146.0,,,,-303.0,,,-235.0,,,-180.0,,,-322.0,,,-985.0,,,-2430.0,,,-110.0,,,-496.0,,,-1800.0
Cash from Financing Activity,PIIND,,,,,,,45.0,,,-145.0,,,,-53.0,,,,-48.0,,,-53.0,,,-106.0,,,-125.0,,,350.0,,,1690.0,,,-177.0,,,-483.0,,,-222.0
Net Cash Flow,PIIND,,,,,,,3.0,,,24.0,,,,-15.0,,,,16.0,,,50.0,,,33.0,,,-56.0,,,63.0,,,-15.0,,,241.0,,,522.0,,,14.0
Cash from Operating Activity,POLYCAB,,,,,,,,,,310.0,,,,150.0,,,,221.0,,,296.0,,,362.0,,,1230.0,,,244.0,,,1252.0,,,512.0,,,1428.0,,,1296.0
Cash from Investing Activity,POLYCAB,,,,,,,,,,-109.0,,,,-173.0,,,,-247.0,,,-295.0,,,-188.0,,,-408.0,,,-262.0,,,-1012.0,,,-427.0,,,-1203.0,,,-752.0
Cash from Financing Activity,POLYCAB,,,,,,,,,,-196.0,,,,15.0,,,,45.0,,,-10.0,,,-190.0,,,-651.0,,,11.0,,,-175.0,,,-201.0,,,-227.0,,,-387.0
Net Cash Flow,POLYCAB,,,,,,,,,,4.0,,,,-8.0,,,,20.0,,,-8.0,,,-15.0,,,171.0,,,-7.0,,,66.0,,,-116.0,,,-2.0,,,157.0
Cash from Operating Activity,PRINCEPIPE,,,,,,,,,,,,,,123.0,,,,86.0,,,94.0,,,162.0,,,219.0,,,102.0,,,292.0,,,-20.0,,,360.0,,,33.0
Cash from Investing Activity,PRINCEPIPE,,,,,,,,,,,,,,-30.0,,,,-51.0,,,-67.0,,,-170.0,,,-105.0,,,-368.0,,,-70.0,,,20.0,,,-142.0,,,-126.0
Cash from Financing Activity,PRINCEPIPE,,,,,,,,,,,,,,-93.0,,,,-35.0,,,-24.0,,,6.0,,,-105.0,,,257.0,,,-214.0,,,22.0,,,-128.0,,,48.0
Net Cash Flow,PRINCEPIPE,,,,,,,,,,,,,,0.0,,,,0.0,,,3.0,,,-2.0,,,9.0,,,-9.0,,,8.0,,,23.0,,,90.0,,,-45.0
Cash from Operating Activity,RAILTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,374.0,,,258.0,,,284.0,,,556.0
Cash from Investing Activity,RAILTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.0,,,-135.0,,,-213.0,,,-203.0,,,-419.0
Cash from Financing Activity,RAILTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.0,,,-110.0,,,-104.0,,,-79.0,,,-77.0
Net Cash Flow,RAILTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,130.0,,,-59.0,,,3.0,,,60.0
Cash from Operating Activity,RAYMOND,,,,,,,326.0,,,192.0,,,,380.0,,,,317.0,,,348.0,,,395.0,,,251.0,,,390.0,,,704.0,,,677.0,,,804.0,,,533.0
Cash from Investing Activity,RAYMOND,,,,,,,-163.0,,,-56.0,,,,-140.0,,,,-211.0,,,-223.0,,,-415.0,,,-127.0,,,-148.0,,,64.0,,,-425.0,,,-476.0,,,-1042.0
Cash from Financing Activity,RAYMOND,,,,,,,-161.0,,,-119.0,,,,-250.0,,,,-118.0,,,-122.0,,,30.0,,,-149.0,,,-130.0,,,-668.0,,,-323.0,,,-319.0,,,502.0
Net Cash Flow,RAYMOND,,,,,,,2.0,,,17.0,,,,-10.0,,,,-12.0,,,3.0,,,9.0,,,-25.0,,,113.0,,,100.0,,,-71.0,,,10.0,,,-6.0
Cash from Operating Activity,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,124.0,,,82.0
Cash from Investing Activity,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.0,,,-147.0,,,-115.0
Cash from Financing Activity,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,,35.0,,,26.0
Net Cash Flow,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.0,,,12.0,,,-7.0
Cash from Operating Activity,RELAXO,,,,,,,54.0,,,125.0,,,,107.0,,,,159.0,,,180.0,,,154.0,,,123.0,,,319.0,,,513.0,,,56.0,,,400.0,,,235.0
Cash from Investing Activity,RELAXO,,,,,,,-82.0,,,-70.0,,,,-130.0,,,,-130.0,,,-89.0,,,-108.0,,,-56.0,,,-116.0,,,-453.0,,,15.0,,,-258.0,,,-99.0
Cash from Financing Activity,RELAXO,,,,,,,29.0,,,-51.0,,,,21.0,,,,-31.0,,,-89.0,,,-46.0,,,-68.0,,,-203.0,,,-56.0,,,-70.0,,,-138.0,,,-106.0
Net Cash Flow,RELAXO,,,,,,,1.0,,,4.0,,,,-1.0,,,,-2.0,,,1.0,,,0.0,,,-1.0,,,1.0,,,4.0,,,1.0,,,3.0,,,30.0
Cash from Operating Activity,RELIANCE,,,,,,,36918.0,,,43261.0,,,,34374.0,,,,38134.0,,,49550.0,,,71459.0,,,42346.0,,,94877.0,,,26958.0,,,110654.0,,,115032.0,,,158788.0
Cash from Investing Activity,RELIANCE,,,,,,,-27601.0,,,-73070.0,,,,-64706.0,,,,-36186.0,,,-66201.0,,,-68192.0,,,-94507.0,,,-72497.0,,,-142385.0,,,-109162.0,,,-93001.0,,,-113581.0
Cash from Financing Activity,RELIANCE,,,,,,,408.0,,,13713.0,,,,8444.0,,,,-3210.0,,,8617.0,,,-2001.0,,,55906.0,,,-2541.0,,,101904.0,,,17289.0,,,10455.0,,,-16646.0
Net Cash Flow,RELIANCE,,,,,,,9725.0,,,-16096.0,,,,-21888.0,,,,-1262.0,,,-8034.0,,,1266.0,,,3745.0,,,19839.0,,,-13523.0,,,18781.0,,,32486.0,,,28561.0
Cash from Operating Activity,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,57.0,,,48.0,,,29.0,,,152.0,,,43.0
Cash from Investing Activity,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.0,,,-190.0,,,-37.0,,,-299.0,,,-181.0,,,-103.0
Cash from Financing Activity,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,,,157.0,,,-25.0,,,292.0,,,61.0,,,16.0
Net Cash Flow,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,23.0,,,-14.0,,,22.0,,,32.0,,,-44.0
Cash from Operating Activity,ROUTE,,,,,,,,,,,,,,,,,,203.0,,,-60.0,,,28.0,,,23.0,,,98.0,,,222.0,,,135.0,,,73.0,,,-98.0
Cash from Investing Activity,ROUTE,,,,,,,,,,,,,,,,,,-35.0,,,-19.0,,,-132.0,,,0.0,,,1.0,,,-225.0,,,-821.0,,,111.0,,,-2.0
Cash from Financing Activity,ROUTE,,,,,,,,,,,,,,,,,,-33.0,,,18.0,,,46.0,,,-17.0,,,-67.0,,,211.0,,,824.0,,,-108.0,,,158.0
Net Cash Flow,ROUTE,,,,,,,,,,,,,,,,,,135.0,,,-61.0,,,-57.0,,,6.0,,,32.0,,,208.0,,,137.0,,,76.0,,,59.0
Cash from Operating Activity,RVNL,,,,,,,,,,,,,,113.0,,,,652.0,,,571.0,,,-363.0,,,-695.0,,,-962.0,,,419.0,,,4793.0,,,-4076.0,,,2954.0
Cash from Investing Activity,RVNL,,,,,,,,,,,,,,-29.0,,,,100.0,,,-25.0,,,36.0,,,320.0,,,124.0,,,312.0,,,-1431.0,,,1355.0,,,-1399.0
Cash from Financing Activity,RVNL,,,,,,,,,,,,,,-152.0,,,,-182.0,,,-668.0,,,-581.0,,,319.0,,,827.0,,,416.0,,,-189.0,,,-1036.0,,,-1287.0
Net Cash Flow,RVNL,,,,,,,,,,,,,,-68.0,,,,570.0,,,-123.0,,,-908.0,,,-56.0,,,-11.0,,,1148.0,,,3173.0,,,-3757.0,,,269.0
Cash from Operating Activity,SBICARD,,,,,,,,,,-398.0,,,,-879.0,,,,-1158.0,,,-2235.0,,,-2891.0,,,-2327.0,,,-4063.0,,,692.0,,,-4391.0,,,-6671.0,,,-5452.0
Cash from Investing Activity,SBICARD,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,-1.0,,,128.0,,,-76.0,,,-77.0,,,-997.0,,,-538.0,,,-921.0,,,-1457.0
Cash from Financing Activity,SBICARD,,,,,,,,,,475.0,,,,1008.0,,,,1141.0,,,2244.0,,,2953.0,,,2824.0,,,3923.0,,,432.0,,,5045.0,,,7824.0,,,8401.0
Net Cash Flow,SBICARD,,,,,,,,,,78.0,,,,130.0,,,,-17.0,,,9.0,,,190.0,,,422.0,,,-218.0,,,127.0,,,115.0,,,232.0,,,1492.0
Cash from Operating Activity,SBIN,,,,,,,24332.0,,,19142.0,,,,26297.0,,,,14477.0,,,77406.0,,,-96508.0,,,29556.0,,,23929.0,,,89919.0,,,57695.0,,,-86014.0,,,21632.0
Cash from Investing Activity,SBIN,,,,,,,-2271.0,,,-791.0,,,,-3424.0,,,,-2747.0,,,-4572.0,,,13053.0,,,220.0,,,-555.0,,,-3670.0,,,-2652.0,,,-966.0,,,-3476.0
Cash from Financing Activity,SBIN,,,,,,,-4424.0,,,3583.0,,,,-1553.0,,,,4348.0,,,-4196.0,,,5547.0,,,448.0,,,5430.0,,,7143.0,,,-3845.0,,,6386.0,,,-9896.0
Net Cash Flow,SBIN,,,,,,,17637.0,,,21934.0,,,,21320.0,,,,16078.0,,,68638.0,,,-77908.0,,,30223.0,,,28803.0,,,93392.0,,,51198.0,,,-80593.0,,,8260.0
Cash from Operating Activity,SIEMENS,,1009.0,,3.0,,,,,,,,608.0,,,,574.0,,,513.0,,,573.0,,,100.0,,,1273.0,,,720.0,,,1422.0,,,978.0,,,1400.0,,
Cash from Investing Activity,SIEMENS,,-1190.0,,264.0,,,,,,,,130.0,,,,646.0,,,237.0,,,1321.0,,,-174.0,,,-1135.0,,,871.0,,,-2389.0,,,-34.0,,,-759.0,,
Cash from Financing Activity,SIEMENS,,-201.0,,-196.0,,,,,,,,-220.0,,,,-245.0,,,-1614.0,,,-285.0,,,-305.0,,,-312.0,,,-386.0,,,-502.0,,,-392.0,,,-450.0,,
Net Cash Flow,SIEMENS,,-382.0,,70.0,,,,,,,,517.0,,,,975.0,,,-864.0,,,1610.0,,,-379.0,,,-174.0,,,1205.0,,,-1469.0,,,552.0,,,191.0,,
Cash from Operating Activity,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,155.0,,,253.0,,,143.0,,,445.0,,,533.0,,,693.0
Cash from Investing Activity,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-138.0,,,204.0,,,-954.0,,,-156.0,,,-352.0,,,-562.0,,,-471.0
Cash from Financing Activity,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-13.0,,,-346.0,,,767.0,,,-67.0,,,-64.0,,,19.0,,,-175.0
Net Cash Flow,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,13.0,,,66.0,,,-80.0,,,29.0,,,-10.0,,,47.0
Cash from Operating Activity,SPICELEC,,,,,,,13.0,,,5.0,,,,6.0,,,,-7.0,,,-29.0,,,-6.0,,,4.0,,,-7.0,,,-2.0,,,-22.0,,,-3.0,,,-9.0
Cash from Investing Activity,SPICELEC,,,,,,,-3.0,,,1.0,,,,0.0,,,,1.0,,,26.0,,,7.0,,,1.0,,,1.0,,,1.0,,,21.0,,,12.0,,,9.0
Cash from Financing Activity,SPICELEC,,,,,,,-11.0,,,-7.0,,,,-6.0,,,,6.0,,,8.0,,,-6.0,,,-5.0,,,5.0,,,1.0,,,1.0,,,-8.0,,,0.0
Net Cash Flow,SPICELEC,,,,,,,-1.0,,,0.0,,,,0.0,,,,0.0,,,6.0,,,-6.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
Cash from Operating Activity,SRF,,,,,,,423.0,,,347.0,,,,542.0,,,,1090.0,,,645.0,,,678.0,,,896.0,,,1304.0,,,1772.0,,,2106.0,,,2902.0,,,2094.0
Cash from Investing Activity,SRF,,,,,,,-672.0,,,-657.0,,,,-500.0,,,,-667.0,,,-613.0,,,-1174.0,,,-1039.0,,,-1179.0,,,-1499.0,,,-1586.0,,,-2964.0,,,-2231.0
Cash from Financing Activity,SRF,,,,,,,300.0,,,205.0,,,,-18.0,,,,-182.0,,,-284.0,,,495.0,,,246.0,,,-199.0,,,-251.0,,,-207.0,,,220.0,,,-72.0
Net Cash Flow,SRF,,,,,,,50.0,,,-106.0,,,,24.0,,,,241.0,,,-252.0,,,-1.0,,,103.0,,,-73.0,,,22.0,,,312.0,,,158.0,,,-209.0
Cash from Operating Activity,SUNPHARMA,,,,,,,3357.0,,,3959.0,,,,5616.0,,,,6686.0,,,7082.0,,,3907.0,,,2196.0,,,6555.0,,,6170.0,,,8985.0,,,4959.0,,,12135.0
Cash from Investing Activity,SUNPHARMA,,,,,,,-2375.0,,,-2176.0,,,,-1502.0,,,,-3949.0,,,-4186.0,,,-3104.0,,,-310.0,,,-2225.0,,,407.0,,,-5556.0,,,-7220.0,,,-763.0
Cash from Financing Activity,SUNPHARMA,,,,,,,-665.0,,,507.0,,,,-1187.0,,,,-1889.0,,,-2285.0,,,-1539.0,,,-2731.0,,,-5715.0,,,-5980.0,,,-5193.0,,,2376.0,,,-6710.0
Net Cash Flow,SUNPHARMA,,,,,,,316.0,,,2290.0,,,,2927.0,,,,848.0,,,611.0,,,-736.0,,,-844.0,,,-1386.0,,,596.0,,,-1765.0,,,115.0,,,4662.0
Cash from Operating Activity,TATACONSUM,,,,,,,173.0,,,422.0,,,,418.0,,,,116.0,,,741.0,,,356.0,,,210.0,,,1082.0,,,1656.0,,,1516.0,,,1461.0,,,1937.0
Cash from Investing Activity,TATACONSUM,,,,,,,24.0,,,-1.0,,,,-207.0,,,,145.0,,,145.0,,,-31.0,,,53.0,,,-622.0,,,-346.0,,,-1317.0,,,-834.0,,,-1911.0
Cash from Financing Activity,TATACONSUM,,,,,,,186.0,,,-363.0,,,,-392.0,,,,-282.0,,,-816.0,,,-30.0,,,-224.0,,,-308.0,,,-426.0,,,-995.0,,,-714.0,,,256.0
Net Cash Flow,TATACONSUM,,,,,,,383.0,,,57.0,,,,-182.0,,,,-21.0,,,70.0,,,294.0,,,39.0,,,152.0,,,884.0,,,-796.0,,,-87.0,,,281.0
Cash from Operating Activity,TATAELXSI,,,,,,,37.0,,,126.0,,,,143.0,,,,121.0,,,144.0,,,197.0,,,215.0,,,256.0,,,437.0,,,483.0,,,487.0,,,701.0
Cash from Investing Activity,TATAELXSI,,,,,,,-29.0,,,-18.0,,,,-29.0,,,,-31.0,,,28.0,,,-245.0,,,-162.0,,,43.0,,,-439.0,,,-106.0,,,-201.0,,,-274.0
Cash from Financing Activity,TATAELXSI,,,,,,,-11.0,,,-79.0,,,,-32.0,,,,-41.0,,,-52.0,,,-60.0,,,-83.0,,,-124.0,,,-126.0,,,-326.0,,,-303.0,,,-428.0
Net Cash Flow,TATAELXSI,,,,,,,-3.0,,,29.0,,,,83.0,,,,49.0,,,120.0,,,-108.0,,,-30.0,,,175.0,,,-128.0,,,51.0,,,-17.0,,,-1.0
Cash from Operating Activity,TATAINVEST,,,,,,,104.0,,,84.0,,,,92.0,,,,90.0,,,68.0,,,67.0,,,92.0,,,117.0,,,86.0,,,122.0,,,230.0,,,235.0
Cash from Investing Activity,TATAINVEST,,,,,,,-70.0,,,-45.0,,,,18.0,,,,146.0,,,-78.0,,,41.0,,,496.0,,,12.0,,,3.0,,,4.0,,,-189.0,,,366.0
Cash from Financing Activity,TATAINVEST,,,,,,,-135.0,,,-103.0,,,,-110.0,,,,-225.0,,,-1.0,,,-119.0,,,-584.0,,,-123.0,,,-95.0,,,-122.0,,,-47.0,,,-495.0
Net Cash Flow,TATAINVEST,,,,,,,-101.0,,,-64.0,,,,1.0,,,,11.0,,,-11.0,,,-12.0,,,4.0,,,7.0,,,-6.0,,,4.0,,,-6.0,,,106.0
Cash from Operating Activity,TATAMOTORS,,,,,,,22163.0,,,36151.0,,,,35531.0,,,,37900.0,,,30199.0,,,23857.0,,,18891.0,,,26633.0,,,29001.0,,,14283.0,,,35388.0,,,67915.0
Cash from Investing Activity,TATAMOTORS,,,,,,,-22969.0,,,-27991.0,,,,-36232.0,,,,-36694.0,,,-39571.0,,,-25139.0,,,-20878.0,,,-33115.0,,,-25672.0,,,-4444.0,,,-15417.0,,,-22782.0
Cash from Financing Activity,TATAMOTORS,,,,,,,-1692.0,,,-3883.0,,,,5201.0,,,,-3795.0,,,6205.0,,,2012.0,,,8830.0,,,3390.0,,,9904.0,,,-3380.0,,,-26243.0,,,-37006.0
Net Cash Flow,TATAMOTORS,,,,,,,-2499.0,,,4277.0,,,,4500.0,,,,-2589.0,,,-3167.0,,,730.0,,,6843.0,,,-3092.0,,,13232.0,,,6459.0,,,-6272.0,,,8128.0
Cash from Operating Activity,TATAPOWER,,,,,,,3286.0,,,6483.0,,,,5981.0,,,,7415.0,,,7014.0,,,6364.0,,,4574.0,,,7375.0,,,8345.0,,,6693.0,,,7166.0,,,12596.0
Cash from Investing Activity,TATAPOWER,,,,,,,-4026.0,,,-3609.0,,,,-3865.0,,,,-1805.0,,,-7373.0,,,-1512.0,,,-272.0,,,-493.0,,,993.0,,,-6250.0,,,-7263.0,,,-9027.0
Cash from Financing Activity,TATAPOWER,,,,,,,-593.0,,,-3265.0,,,,-2239.0,,,,-6183.0,,,937.0,,,-4726.0,,,-5184.0,,,-5110.0,,,-7603.0,,,-1183.0,,,1341.0,,,-4497.0
