Balance Sheet,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
CWIP,RELAXO,,,,,,,24.0,,,24.0,,,,2.0,,,,28.0,,,62.0,,,138.0,,,11.0,,,46.0,,,118.0,,,149.0,,,89.0,,,33.0,
Investments,RELAXO,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,1.0,,,1.0,,,0.0,,,0.0,,,338.0,,,194.0,,,225.0,,,108.0,
Other Assets,RELAXO,,,,,,,236.0,,,267.0,,,,367.0,,,,438.0,,,466.0,,,587.0,,,752.0,,,814.0,,,782.0,,,1052.0,,,1030.0,,,1202.0,
Total Assets,RELAXO,,,,,,,587.0,,,657.0,,,,841.0,,,,997.0,,,1070.0,,,1250.0,,,1611.0,,,1841.0,,,2176.0,,,2383.0,,,2495.0,,,2714.0,
Equity Capital,RELIANCE,,,,,,,2936.0,,,2940.0,,,,2943.0,,,,2948.0,,,2959.0,,,5922.0,,,5926.0,,,6339.0,,,6445.0,,,6765.0,,,6766.0,,,6766.0,
Reserves,RELIANCE,,,,,,,179119.0,,,195747.0,,,,215556.0,,,,228608.0,,,260750.0,,,287584.0,,,381186.0,,,442827.0,,,693727.0,,,772720.0,,,709106.0,,,786715.0,
Borrowings,RELIANCE,,,,,,,107219.0,,,138761.0,,,,168251.0,,,,194714.0,,,217475.0,,,239843.0,,,307714.0,,,355133.0,,,278962.0,,,319158.0,,,451664.0,,,458991.0,
Other Liabilities,RELIANCE,,,,,,,73083.0,,,91395.0,,,,117736.0,,,,172727.0,,,225618.0,,,277924.0,,,302804.0,,,358716.0,,,340931.0,,,399979.0,,,438346.0,,,502576.0,
Total Liabilities,RELIANCE,,,,,,,362357.0,,,428843.0,,,,504486.0,,,,598997.0,,,706802.0,,,811273.0,,,997630.0,,,1163015.0,,,1320065.0,,,1498622.0,,,1605882.0,,,1755048.0,
Fixed Assets,RELIANCE,,,,,,,133487.0,,,141417.0,,,,156458.0,,,,184910.0,,,198526.0,,,403885.0,,,398374.0,,,532658.0,,,541258.0,,,627798.0,,,724805.0,,,779985.0,
CWIP,RELIANCE,,,,,,,49952.0,,,91494.0,,,,166462.0,,,,228697.0,,,324837.0,,,187022.0,,,179463.0,,,109106.0,,,125953.0,,,172506.0,,,293752.0,,,338855.0,
Investments,RELIANCE,,,,,,,42848.0,,,60602.0,,,,76451.0,,,,84015.0,,,82899.0,,,82862.0,,,235635.0,,,276767.0,,,364828.0,,,394264.0,,,235560.0,,,225672.0,
Other Assets,RELIANCE,,,,,,,136070.0,,,135330.0,,,,105115.0,,,,101375.0,,,100540.0,,,137504.0,,,184158.0,,,244484.0,,,288026.0,,,304054.0,,,351765.0,,,410536.0,
Total Assets,RELIANCE,,,,,,,362357.0,,,428843.0,,,,504486.0,,,,598997.0,,,706802.0,,,811273.0,,,997630.0,,,1163015.0,,,1320065.0,,,1498622.0,,,1605882.0,,,1755048.0,
Equity Capital,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,10.0,,,10.0,,,11.0,,,11.0,,,11.0,
Reserves,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,277.0,,,398.0,,,794.0,,,904.0,,,1037.0,
Borrowings,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,67.0,,,0.0,,,8.0,,,74.0,,,119.0,
Other Liabilities,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,118.0,,,152.0,,,442.0,,,375.0,,,401.0,
Total Liabilities,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,471.0,,,561.0,,,1255.0,,,1364.0,,,1567.0,
Fixed Assets,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,94.0,,,181.0,,,607.0,,,585.0,,,578.0,
CWIP,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,22.0,,,0.0,,,1.0,,,16.0,,,47.0,
Investments,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,18.0,,,0.0,,,36.0,,,51.0,,,63.0,
Other Assets,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,338.0,,,379.0,,,611.0,,,712.0,,,880.0,
Total Assets,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,471.0,,,561.0,,,1255.0,,,1364.0,,,1567.0,
Equity Capital,ROUTE,,,,,,,,,,,,,,,,,,20.0,,,50.0,,,50.0,,,50.0,,,50.0,,,58.0,,,63.0,,,62.0,,,63.0,
Reserves,ROUTE,,,,,,,,,,,,,,,,,,50.0,,,77.0,,,121.0,,,173.0,,,219.0,,,594.0,,,1610.0,,,1758.0,,,2087.0,
Borrowings,ROUTE,,,,,,,,,,,,,,,,,,0.0,,,18.0,,,84.0,,,79.0,,,53.0,,,20.0,,,16.0,,,140.0,,,378.0,
Other Liabilities,ROUTE,,,,,,,,,,,,,,,,,,158.0,,,55.0,,,168.0,,,185.0,,,302.0,,,350.0,,,964.0,,,916.0,,,934.0,
Total Liabilities,ROUTE,,,,,,,,,,,,,,,,,,228.0,,,200.0,,,423.0,,,487.0,,,625.0,,,1022.0,,,2653.0,,,2877.0,,,3462.0,
Fixed Assets,ROUTE,,,,,,,,,,,,,,,,,,9.0,,,33.0,,,182.0,,,170.0,,,176.0,,,193.0,,,952.0,,,953.0,,,898.0,
CWIP,ROUTE,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,0.0,,,2.0,,,0.0,,,1.0,,,0.0,,,15.0,,,26.0,
Investments,ROUTE,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,11.0,,,12.0,,,13.0,,,13.0,,,20.0,,,15.0,
Other Assets,ROUTE,,,,,,,,,,,,,,,,,,218.0,,,167.0,,,241.0,,,304.0,,,438.0,,,815.0,,,1688.0,,,1889.0,,,2523.0,
Total Assets,ROUTE,,,,,,,,,,,,,,,,,,228.0,,,200.0,,,423.0,,,487.0,,,625.0,,,1022.0,,,2653.0,,,2877.0,,,3462.0,
Equity Capital,RVNL,,,,,,,,,,,,,,2085.0,,,,2085.0,,,2085.0,,,2085.0,,,2085.0,,,2085.0,,,2085.0,,,2085.0,,,2085.0,,,2085.0,
Reserves,RVNL,,,,,,,,,,,,,,975.0,,,,1337.0,,,1472.0,,,1839.0,,,2311.0,,,3034.0,,,3551.0,,,4240.0,,,5240.0,,,6661.0,
Borrowings,RVNL,,,,,,,,,,,,,,2514.0,,,,2624.0,,,2437.0,,,2259.0,,,3024.0,,,4257.0,,,5931.0,,,6643.0,,,6441.0,,,6033.0,
Other Liabilities,RVNL,,,,,,,,,,,,,,10561.0,,,,16169.0,,,2866.0,,,2101.0,,,4669.0,,,3019.0,,,2654.0,,,7097.0,,,4656.0,,,4834.0,
Total Liabilities,RVNL,,,,,,,,,,,,,,16135.0,,,,22216.0,,,8860.0,,,8284.0,,,12089.0,,,12395.0,,,14221.0,,,20066.0,,,18422.0,,,19612.0,
Fixed Assets,RVNL,,,,,,,,,,,,,,6.0,,,,6.0,,,8.0,,,249.0,,,279.0,,,305.0,,,292.0,,,380.0,,,355.0,,,367.0,
CWIP,RVNL,,,,,,,,,,,,,,2.0,,,,6.0,,,13.0,,,21.0,,,11.0,,,25.0,,,53.0,,,1.0,,,1.0,,,94.0,
Investments,RVNL,,,,,,,,,,,,,,896.0,,,,1024.0,,,1089.0,,,1231.0,,,1586.0,,,1588.0,,,1730.0,,,1810.0,,,1982.0,,,2405.0,
Other Assets,RVNL,,,,,,,,,,,,,,15232.0,,,,21180.0,,,7751.0,,,6783.0,,,10212.0,,,10476.0,,,12145.0,,,17875.0,,,16084.0,,,16746.0,
Total Assets,RVNL,,,,,,,,,,,,,,16135.0,,,,22216.0,,,8860.0,,,8284.0,,,12089.0,,,12395.0,,,14221.0,,,20066.0,,,18422.0,,,19612.0,
Equity Capital,SBICARD,,,,,,,785.0,,,785.0,,,,785.0,,,,785.0,,,785.0,,,785.0,,,837.0,,,939.0,,,941.0,,,943.0,,,946.0,,,951.0,
Reserves,SBICARD,,,,,,,-332.0,,,-39.0,,,,181.0,,,,370.0,,,664.0,,,1568.0,,,2751.0,,,4402.0,,,5362.0,,,6810.0,,,8884.0,,,11133.0,
Borrowings,SBICARD,,,,,,,2803.0,,,3498.0,,,,4699.0,,,,5928.0,,,8268.0,,,11413.0,,,13549.0,,,17573.0,,,17895.0,,,22982.0,,,31110.0,,,39891.0,
Other Liabilities,SBICARD,,,,,,,231.0,,,491.0,,,,593.0,,,,797.0,,,1048.0,,,1920.0,,,3009.0,,,2393.0,,,2816.0,,,3913.0,,,4606.0,,,6196.0,
Total Liabilities,SBICARD,,,,,,,3488.0,,,4735.0,,,,6257.0,,,,7880.0,,,10765.0,,,15686.0,,,20146.0,,,25307.0,,,27013.0,,,34648.0,,,45546.0,,,58171.0,
Fixed Assets,SBICARD,,,,,,,1.0,,,1.0,,,,2.0,,,,2.0,,,24.0,,,242.0,,,196.0,,,311.0,,,308.0,,,439.0,,,551.0,,,542.0,
CWIP,SBICARD,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,35.0,,,20.0,,,24.0,,,10.0,,,14.0,,,23.0,,,22.0,
Investments,SBICARD,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,1.0,,,1.0,,,958.0,,,1297.0,,,2140.0,,,3519.0,
Other Assets,SBICARD,,,,,,,3487.0,,,4734.0,,,,6256.0,,,,7878.0,,,10741.0,,,15409.0,,,19928.0,,,24971.0,,,25737.0,,,32898.0,,,42832.0,,,54088.0,
Total Assets,SBICARD,,,,,,,3488.0,,,4735.0,,,,6257.0,,,,7880.0,,,10765.0,,,15686.0,,,20146.0,,,25307.0,,,27013.0,,,34648.0,,,45546.0,,,58171.0,
Equity Capital,SBIN,,,,,,,684.0,,,747.0,,,,747.0,,,,776.0,,,797.0,,,892.0,,,892.0,,,892.0,,,892.0,,,892.0,,,892.0,,,892.0,
Reserves,SBIN,,,,,,,124349.0,,,146624.0,,,,160641.0,,,,179816.0,,,216395.0,,,229429.0,,,233603.0,,,250168.0,,,274669.0,,,304696.0,,,358039.0,,,414047.0,
Borrowings,SBIN,,,,,,,1831126.0,,,2062612.0,,,,2297624.0,,,,2615257.0,,,2936176.0,,,3091258.0,,,3354289.0,,,3607061.0,,,4149127.0,,,4536570.0,,,4989687.0,,,5606147.0,
Other Liabilities,SBIN,,,,,,,176355.0,,,185573.0,,,,240149.0,,,,276472.0,,,288391.0,,,294860.0,,,299676.0,,,339364.0,,,420926.0,,,518719.0,,,605796.0,,,712669.0,
Total Liabilities,SBIN,,,,,,,2132514.0,,,2395556.0,,,,2699161.0,,,,3072321.0,,,3441760.0,,,3616439.0,,,3888460.0,,,4197486.0,,,4845615.0,,,5360878.0,,,5954415.0,,,6733756.0,
Fixed Assets,SBIN,,,,,,,8694.0,,,10223.0,,,,12924.0,,,,15415.0,,,51189.0,,,42035.0,,,39941.0,,,39608.0,,,41600.0,,,41032.0,,,45880.0,,,46072.0,
CWIP,SBIN,,,,,,,676.0,,,337.0,,,,400.0,,,,786.0,,,695.0,,,925.0,,,762.0,,,470.0,,,116.0,,,28.0,,,66.0,,,42.0,
Investments,SBIN,,,,,,,519343.0,,,579401.0,,,,673507.0,,,,807375.0,,,1027281.0,,,1183794.0,,,1119270.0,,,1228284.0,,,1595100.0,,,1776490.0,,,1913108.0,,,2110548.0,
Other Assets,SBIN,,,,,,,1603801.0,,,1805595.0,,,,2012329.0,,,,2248746.0,,,2362594.0,,,2389685.0,,,2728487.0,,,2929123.0,,,3208798.0,,,3543328.0,,,3995361.0,,,4577093.0,
Total Assets,SBIN,,,,,,,2132514.0,,,2395556.0,,,,2699161.0,,,,3072321.0,,,3441760.0,,,3616439.0,,,3888460.0,,,4197486.0,,,4845615.0,,,5360878.0,,,5954415.0,,,6733756.0,
Equity Capital,SIEMENS,,67.0,,68.0,,,,,,,,71.0,,,,71.0,,,71.0,,,71.0,,,71.0,,,71.0,,,71.0,,,71.0,,,71.0,,,71.0,,71.0,
Reserves,SIEMENS,,3212.0,,3748.0,,,,,,,,4304.0,,,,5046.0,,,6732.0,,,7619.0,,,8228.0,,,8978.0,,,9421.0,,,10276.0,,,11539.0,,,13016.0,,13845.0,
Borrowings,SIEMENS,,0.0,,0.0,,,,,,,,0.0,,,,25.0,,,25.0,,,0.0,,,0.0,,,0.0,,,0.0,,,4.0,,,182.0,,,175.0,,183.0,
Other Liabilities,SIEMENS,,6038.0,,6341.0,,,,,,,,5915.0,,,,5433.0,,,5157.0,,,5448.0,,,6037.0,,,6309.0,,,6368.0,,,7664.0,,,8317.0,,,9003.0,,9083.0,
Total Liabilities,SIEMENS,,9318.0,,10158.0,,,,,,,,10290.0,,,,10576.0,,,11986.0,,,13138.0,,,14336.0,,,15358.0,,,15860.0,,,18015.0,,,20109.0,,,22265.0,,23182.0,
Fixed Assets,SIEMENS,,985.0,,1169.0,,,,,,,,1356.0,,,,1394.0,,,1227.0,,,1365.0,,,1381.0,,,1219.0,,,1196.0,,,3264.0,,,3107.0,,,3038.0,,3018.0,
CWIP,SIEMENS,,255.0,,249.0,,,,,,,,41.0,,,,32.0,,,79.0,,,143.0,,,62.0,,,58.0,,,88.0,,,35.0,,,52.0,,,50.0,,40.0,
Investments,SIEMENS,,0.0,,0.0,,,,,,,,8.0,,,,114.0,,,110.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,,1.0,,,1.0,,1.0,
Other Assets,SIEMENS,,8078.0,,8739.0,,,,,,,,8886.0,,,,9037.0,,,10570.0,,,11630.0,,,12893.0,,,14081.0,,,14576.0,,,14713.0,,,16949.0,,,19175.0,,20123.0,
Total Assets,SIEMENS,,9318.0,,10158.0,,,,,,,,10290.0,,,,10576.0,,,11986.0,,,13138.0,,,14336.0,,,15358.0,,,15860.0,,,18015.0,,,20109.0,,,22265.0,,23182.0,
Equity Capital,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,28.0,,,47.0,,,573.0,,,584.0,,,585.0,,,586.0,
Reserves,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-28.0,,,146.0,,,1131.0,,,803.0,,,1416.0,,,1705.0,,,2064.0,
Borrowings,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,614.0,,,163.0,,,366.0,,,447.0,,,151.0,,,295.0,,,412.0,
Other Liabilities,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,869.0,,,1295.0,,,307.0,,,375.0,,,444.0,,,474.0,,,802.0,
Total Liabilities,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,1484.0,,,1633.0,,,1851.0,,,2198.0,,,2596.0,,,3060.0,,,3865.0,
Fixed Assets,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,793.0,,,291.0,,,1065.0,,,1217.0,,,1384.0,,,1588.0,,,1951.0,
CWIP,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,13.0,,,90.0,,,83.0,,,147.0,,,91.0,,,364.0,
Investments,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,2.0,,,0.0,,,7.0,,,233.0,,,42.0,
Other Assets,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,672.0,,,1328.0,,,694.0,,,898.0,,,1058.0,,,1149.0,,,1509.0,
Total Assets,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,1484.0,,,1633.0,,,1851.0,,,2198.0,,,2596.0,,,3060.0,,,3865.0,
Equity Capital,SPICELEC,,,,,,,46.0,,,46.0,,,,46.0,,,,46.0,,,46.0,,,46.0,,,46.0,,,46.0,,,46.0,,,46.0,,,46.0,,,46.0,
Reserves,SPICELEC,,,,,,,41.0,,,42.0,,,,41.0,,,,21.0,,,49.0,,,41.0,,,31.0,,,33.0,,,26.0,,,7.0,,,3.0,,,-13.0,
Borrowings,SPICELEC,,,,,,,33.0,,,30.0,,,,27.0,,,,16.0,,,28.0,,,25.0,,,22.0,,,28.0,,,30.0,,,31.0,,,25.0,,,28.0,
Other Liabilities,SPICELEC,,,,,,,28.0,,,27.0,,,,30.0,,,,47.0,,,51.0,,,58.0,,,64.0,,,75.0,,,64.0,,,88.0,,,89.0,,,85.0,
Total Liabilities,SPICELEC,,,,,,,148.0,,,145.0,,,,144.0,,,,130.0,,,175.0,,,170.0,,,163.0,,,182.0,,,166.0,,,172.0,,,164.0,,,146.0,
Fixed Assets,SPICELEC,,,,,,,119.0,,,109.0,,,,98.0,,,,87.0,,,133.0,,,126.0,,,122.0,,,117.0,,,113.0,,,87.0,,,78.0,,,75.0,
CWIP,SPICELEC,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Investments,SPICELEC,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Other Assets,SPICELEC,,,,,,,29.0,,,37.0,,,,46.0,,,,43.0,,,42.0,,,44.0,,,41.0,,,65.0,,,54.0,,,85.0,,,86.0,,,71.0,
Total Assets,SPICELEC,,,,,,,148.0,,,145.0,,,,144.0,,,,130.0,,,175.0,,,170.0,,,163.0,,,182.0,,,166.0,,,172.0,,,164.0,,,146.0,
Equity Capital,SRF,,,,,,,58.0,,,58.0,,,,58.0,,,,58.0,,,58.0,,,58.0,,,58.0,,,58.0,,,60.0,,,297.0,,,297.0,,,297.0,
Reserves,SRF,,,,,,,1910.0,,,2008.0,,,,2238.0,,,,2705.0,,,3124.0,,,3506.0,,,4071.0,,,4875.0,,,6796.0,,,8268.0,,,10030.0,,,11182.0,
Borrowings,SRF,,,,,,,1704.0,,,2175.0,,,,2435.0,,,,2515.0,,,2396.0,,,3142.0,,,3730.0,,,4135.0,,,3469.0,,,3655.0,,,4478.0,,,5031.0,
Other Liabilities,SRF,,,,,,,902.0,,,1227.0,,,,1152.0,,,,1146.0,,,1389.0,,,1657.0,,,2028.0,,,1795.0,,,2586.0,,,3544.0,,,3931.0,,,3945.0,
Total Liabilities,SRF,,,,,,,4575.0,,,5469.0,,,,5883.0,,,,6424.0,,,6968.0,,,8363.0,,,9888.0,,,10862.0,,,12911.0,,,15765.0,,,18736.0,,,20454.0,
Fixed Assets,SRF,,,,,,,2340.0,,,3551.0,,,,3922.0,,,,4113.0,,,4405.0,,,5122.0,,,5609.0,,,6368.0,,,7827.0,,,8425.0,,,10050.0,,,13242.0,
CWIP,SRF,,,,,,,565.0,,,112.0,,,,104.0,,,,117.0,,,259.0,,,559.0,,,754.0,,,1393.0,,,772.0,,,1672.0,,,2406.0,,,805.0,
Investments,SRF,,,,,,,151.0,,,37.0,,,,94.0,,,,165.0,,,196.0,,,122.0,,,101.0,,,203.0,,,417.0,,,321.0,,,494.0,,,527.0,
Other Assets,SRF,,,,,,,1518.0,,,1769.0,,,,1762.0,,,,2029.0,,,2109.0,,,2561.0,,,3424.0,,,2899.0,,,3895.0,,,5347.0,,,5786.0,,,5881.0,
Total Assets,SRF,,,,,,,4575.0,,,5469.0,,,,5883.0,,,,6424.0,,,6968.0,,,8363.0,,,9888.0,,,10862.0,,,12911.0,,,15765.0,,,18736.0,,,20454.0,
Equity Capital,SUNPHARMA,,,,,,,104.0,,,207.0,,,,207.0,,,,241.0,,,240.0,,,240.0,,,240.0,,,240.0,,,240.0,,,240.0,,,240.0,,,240.0,
Reserves,SUNPHARMA,,,,,,,14886.0,,,18318.0,,,,25431.0,,,,32742.0,,,36400.0,,,38074.0,,,41169.0,,,45025.0,,,46223.0,,,47771.0,,,55755.0,,,63427.0,
Borrowings,SUNPHARMA,,,,,,,260.0,,,2561.0,,,,8996.0,,,,8497.0,,,9832.0,,,10385.0,,,10514.0,,,8315.0,,,3869.0,,,1290.0,,,6886.0,,,3274.0,
Other Liabilities,SUNPHARMA,,,,,,,5128.0,,,8009.0,,,,14089.0,,,,13948.0,,,14624.0,,,15598.0,,,12666.0,,,14615.0,,,17291.0,,,20474.0,,,17831.0,,,18367.0,
Total Liabilities,SUNPHARMA,,,,,,,20377.0,,,29095.0,,,,48723.0,,,,55428.0,,,61095.0,,,64297.0,,,64590.0,,,68194.0,,,67622.0,,,69776.0,,,80712.0,,,85308.0,
Fixed Assets,SUNPHARMA,,,,,,,5647.0,,,6817.0,,,,12682.0,,,,15872.0,,,17675.0,,,18853.0,,,21837.0,,,22847.0,,,21553.0,,,22665.0,,,24065.0,,,23211.0,
CWIP,SUNPHARMA,,,,,,,563.0,,,842.0,,,,2039.0,,,,2175.0,,,2801.0,,,2465.0,,,1411.0,,,1220.0,,,1567.0,,,1287.0,,,4973.0,,,5354.0,
Investments,SUNPHARMA,,,,,,,2412.0,,,2786.0,,,,2716.0,,,,1830.0,,,1192.0,,,7143.0,,,7903.0,,,10143.0,,,9612.0,,,12849.0,,,14824.0,,,15026.0,
Other Assets,SUNPHARMA,,,,,,,11756.0,,,18650.0,,,,31286.0,,,,35550.0,,,39427.0,,,35837.0,,,33439.0,,,33984.0,,,34890.0,,,32975.0,,,36849.0,,,41717.0,
Total Assets,SUNPHARMA,,,,,,,20377.0,,,29095.0,,,,48723.0,,,,55428.0,,,61095.0,,,64297.0,,,64590.0,,,68194.0,,,67622.0,,,69776.0,,,80712.0,,,85308.0,
Equity Capital,TATACONSUM,,,,,,,62.0,,,62.0,,,,62.0,,,,63.0,,,63.0,,,63.0,,,63.0,,,92.0,,,92.0,,,92.0,,,93.0,,,95.0,
Reserves,TATACONSUM,,,,,,,4748.0,,,5787.0,,,,5431.0,,,,6184.0,,,6202.0,,,6968.0,,,7269.0,,,13723.0,,,14442.0,,,15050.0,,,16184.0,,,15962.0,
Borrowings,TATACONSUM,,,,,,,1389.0,,,1438.0,,,,1324.0,,,,1354.0,,,787.0,,,1068.0,,,1141.0,,,1586.0,,,1634.0,,,1412.0,,,1600.0,,,3477.0,
Other Liabilities,TATACONSUM,,,,,,,2595.0,,,2625.0,,,,2641.0,,,,2294.0,,,2499.0,,,2362.0,,,2408.0,,,3072.0,,,4050.0,,,4521.0,,,4886.0,,,8345.0,
Total Liabilities,TATACONSUM,,,,,,,8794.0,,,9911.0,,,,9458.0,,,,9895.0,,,9551.0,,,10461.0,,,10881.0,,,18473.0,,,20218.0,,,21075.0,,,22762.0,,,27879.0,
Fixed Assets,TATACONSUM,,,,,,,4434.0,,,5181.0,,,,4922.0,,,,4662.0,,,4573.0,,,4798.0,,,4913.0,,,11656.0,,,12023.0,,,12599.0,,,13070.0,,,19358.0,
CWIP,TATACONSUM,,,,,,,91.0,,,60.0,,,,47.0,,,,39.0,,,63.0,,,135.0,,,424.0,,,95.0,,,113.0,,,247.0,,,295.0,,,190.0,
Investments,TATACONSUM,,,,,,,578.0,,,611.0,,,,622.0,,,,1366.0,,,1451.0,,,1161.0,,,1188.0,,,1323.0,,,806.0,,,797.0,,,1433.0,,,871.0,
Other Assets,TATACONSUM,,,,,,,3691.0,,,4060.0,,,,3867.0,,,,3828.0,,,3465.0,,,4366.0,,,4355.0,,,5399.0,,,7276.0,,,7431.0,,,7965.0,,,7461.0,
Total Assets,TATACONSUM,,,,,,,8794.0,,,9911.0,,,,9458.0,,,,9895.0,,,9551.0,,,10461.0,,,10881.0,,,18473.0,,,20218.0,,,21075.0,,,22762.0,,,27879.0,
Equity Capital,TATAELXSI,,,,,,,31.0,,,31.0,,,,31.0,,,,31.0,,,31.0,,,62.0,,,62.0,,,62.0,,,62.0,,,62.0,,,62.0,,,62.0,
Reserves,TATAELXSI,,,,,,,161.0,,,204.0,,,,252.0,,,,355.0,,,527.0,,,676.0,,,880.0,,,1028.0,,,1290.0,,,1539.0,,,2023.0,,,2443.0,
Borrowings,TATAELXSI,,,,,,,59.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,58.0,,,73.0,,,138.0,,,185.0,,,225.0,
Other Liabilities,TATAELXSI,,,,,,,106.0,,,152.0,,,,182.0,,,,214.0,,,158.0,,,207.0,,,201.0,,,241.0,,,291.0,,,430.0,,,493.0,,,457.0,
Total Liabilities,TATAELXSI,,,,,,,356.0,,,387.0,,,,465.0,,,,600.0,,,715.0,,,945.0,,,1143.0,,,1389.0,,,1717.0,,,2169.0,,,2764.0,,,3187.0,
Fixed Assets,TATAELXSI,,,,,,,99.0,,,97.0,,,,98.0,,,,107.0,,,108.0,,,94.0,,,101.0,,,147.0,,,170.0,,,272.0,,,334.0,,,396.0,
CWIP,TATAELXSI,,,,,,,21.0,,,13.0,,,,3.0,,,,2.0,,,1.0,,,2.0,,,0.0,,,1.0,,,7.0,,,22.0,,,7.0,,,2.0,
Investments,TATAELXSI,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Other Assets,TATAELXSI,,,,,,,236.0,,,277.0,,,,364.0,,,,491.0,,,607.0,,,848.0,,,1042.0,,,1241.0,,,1540.0,,,1876.0,,,2423.0,,,2789.0,
Total Assets,TATAELXSI,,,,,,,356.0,,,387.0,,,,465.0,,,,600.0,,,715.0,,,945.0,,,1143.0,,,1389.0,,,1717.0,,,2169.0,,,2764.0,,,3187.0,
Equity Capital,TATAINVEST,,,,,,,55.0,,,55.0,,,,55.0,,,,55.0,,,55.0,,,55.0,,,51.0,,,51.0,,,51.0,,,51.0,,,51.0,,,51.0,
Reserves,TATAINVEST,,,,,,,2000.0,,,2096.0,,,,2178.0,,,,2257.0,,,2463.0,,,8247.0,,,7874.0,,,8007.0,,,14188.0,,,19625.0,,,19521.0,,,29915.0,
Borrowings,TATAINVEST,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,240.0,,,0.0,
Other Liabilities,TATAINVEST,,,,,,,117.0,,,123.0,,,,125.0,,,,14.0,,,19.0,,,1564.0,,,1554.0,,,122.0,,,647.0,,,1314.0,,,1277.0,,,2905.0,
Total Liabilities,TATAINVEST,,,,,,,2172.0,,,2274.0,,,,2358.0,,,,2326.0,,,2537.0,,,9866.0,,,9478.0,,,8179.0,,,14886.0,,,20990.0,,,21089.0,,,32870.0,
Fixed Assets,TATAINVEST,,,,,,,13.0,,,14.0,,,,14.0,,,,14.0,,,14.0,,,14.0,,,14.0,,,15.0,,,14.0,,,16.0,,,15.0,,,14.0,
CWIP,TATAINVEST,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Investments,TATAINVEST,,,,,,,2006.0,,,2212.0,,,,2302.0,,,,2259.0,,,2480.0,,,9816.0,,,9432.0,,,8128.0,,,14836.0,,,20893.0,,,21009.0,,,32485.0,
Other Assets,TATAINVEST,,,,,,,153.0,,,48.0,,,,43.0,,,,53.0,,,44.0,,,37.0,,,33.0,,,37.0,,,36.0,,,82.0,,,65.0,,,371.0,
